"Time","persistent cough"
"2025-06-29",37
"2025-07-06",27
"2025-07-13",31
"2025-07-20",35
"2025-07-27",34
"2025-08-03",23
"2025-08-10",43
"2025-08-17",35
"2025-08-24",44
"2025-08-31",37
"2025-09-07",29
"2025-09-14",28
"2025-09-21",34
"2025-09-28",52
"2025-10-05",57
"2025-10-12",52
"2025-10-19",51
"2025-10-26",51
"2025-11-02",66
"2025-11-09",59
"2025-11-16",56
"2025-11-23",58
"2025-11-30",85
"2025-12-07",77
"2025-12-14",73
"2025-12-21",100
"2025-12-28",96
"2026-01-04",74
"2026-01-11",67
"2026-01-18",76
"2026-01-25",60
"2026-02-01",76
"2026-02-08",59
"2026-02-15",57
"2026-02-22",47
"2026-03-01",64
"2026-03-08",59
"2026-03-15",76
"2026-03-22",71
"2026-03-29",76
"2026-04-05",77
"2026-04-12",62
"2026-04-19",66
"2026-04-26",56
"2026-05-03",57
"2026-05-10",55
"2026-05-17",65
"2026-05-24",52
"2026-05-31",59
"2026-06-07",43
"2026-06-14",41
"2026-06-21",39
"2026-06-28",40
