"Time","breathlessness"
"2025-06-29",61
"2025-07-06",58
"2025-07-13",64
"2025-07-20",75
"2025-07-27",73
"2025-08-03",58
"2025-08-10",58
"2025-08-17",59
"2025-08-24",66
"2025-08-31",81
"2025-09-07",66
"2025-09-14",73
"2025-09-21",80
"2025-09-28",68
"2025-10-05",72
"2025-10-12",64
"2025-10-19",85
"2025-10-26",80
"2025-11-02",87
"2025-11-09",76
"2025-11-16",65
"2025-11-23",74
"2025-11-30",67
"2025-12-07",85
"2025-12-14",76
"2025-12-21",60
"2025-12-28",71
"2026-01-04",72
"2026-01-11",83
"2026-01-18",82
"2026-01-25",86
"2026-02-01",85
"2026-02-08",92
"2026-02-15",74
"2026-02-22",85
"2026-03-01",81
"2026-03-08",95
"2026-03-15",100
"2026-03-22",95
"2026-03-29",87
"2026-04-05",89
"2026-04-12",94
"2026-04-19",84
"2026-04-26",76
"2026-05-03",92
"2026-05-10",72
"2026-05-17",97
"2026-05-24",69
"2026-05-31",76
"2026-06-07",69
"2026-06-14",76
"2026-06-21",58
"2026-06-28",62
