"Time","wheezing"
"2025-06-29",39
"2025-07-06",40
"2025-07-13",45
"2025-07-20",41
"2025-07-27",43
"2025-08-03",42
"2025-08-10",47
"2025-08-17",45
"2025-08-24",49
"2025-08-31",47
"2025-09-07",51
"2025-09-14",51
"2025-09-21",59
"2025-09-28",58
"2025-10-05",58
"2025-10-12",63
"2025-10-19",58
"2025-10-26",65
"2025-11-02",59
"2025-11-09",65
"2025-11-16",65
"2025-11-23",78
"2025-11-30",78
"2025-12-07",78
"2025-12-14",77
"2025-12-21",94
"2025-12-28",100
"2026-01-04",81
"2026-01-11",67
"2026-01-18",76
"2026-01-25",60
"2026-02-01",63
"2026-02-08",67
"2026-02-15",56
"2026-02-22",56
"2026-03-01",61
"2026-03-08",61
"2026-03-15",77
"2026-03-22",81
"2026-03-29",74
"2026-04-05",76
"2026-04-12",63
"2026-04-19",68
"2026-04-26",63
"2026-05-03",63
"2026-05-10",51
"2026-05-17",55
"2026-05-24",51
"2026-05-31",53
"2026-06-07",47
"2026-06-14",52
"2026-06-21",46
"2026-06-28",56
