"Time","runny nose"
"2025-06-29",46
"2025-07-06",45
"2025-07-13",42
"2025-07-20",44
"2025-07-27",44
"2025-08-03",48
"2025-08-10",43
"2025-08-17",45
"2025-08-24",48
"2025-08-31",50
"2025-09-07",59
"2025-09-14",68
"2025-09-21",85
"2025-09-28",79
"2025-10-05",73
"2025-10-12",70
"2025-10-19",71
"2025-10-26",67
"2025-11-02",59
"2025-11-09",62
"2025-11-16",67
"2025-11-23",75
"2025-11-30",80
"2025-12-07",81
"2025-12-14",88
"2025-12-21",95
"2025-12-28",93
"2026-01-04",74
"2026-01-11",71
"2026-01-18",76
"2026-01-25",79
"2026-02-01",77
"2026-02-08",71
"2026-02-15",65
"2026-02-22",62
"2026-03-01",66
"2026-03-08",72
"2026-03-15",94
"2026-03-22",100
"2026-03-29",77
"2026-04-05",75
"2026-04-12",68
"2026-04-19",63
"2026-04-26",63
"2026-05-03",64
"2026-05-10",69
"2026-05-17",63
"2026-05-24",56
"2026-05-31",50
"2026-06-07",51
"2026-06-14",64
"2026-06-21",53
"2026-06-28",56
