"Time","congestion"
"2025-06-29",53
"2025-07-06",53
"2025-07-13",55
"2025-07-20",57
"2025-07-27",56
"2025-08-03",60
"2025-08-10",59
"2025-08-17",62
"2025-08-24",65
"2025-08-31",57
"2025-09-07",66
"2025-09-14",57
"2025-09-21",63
"2025-09-28",64
"2025-10-05",57
"2025-10-12",65
"2025-10-19",63
"2025-10-26",85
"2025-11-02",70
"2025-11-09",67
"2025-11-16",70
"2025-11-23",63
"2025-11-30",71
"2025-12-07",72
"2025-12-14",70
"2025-12-21",100
"2025-12-28",96
"2026-01-04",60
"2026-01-11",63
"2026-01-18",61
"2026-01-25",65
"2026-02-01",61
"2026-02-08",59
"2026-02-15",62
"2026-02-22",55
"2026-03-01",61
"2026-03-08",62
"2026-03-15",61
"2026-03-22",64
"2026-03-29",72
"2026-04-05",76
"2026-04-12",58
"2026-04-19",64
"2026-04-26",58
"2026-05-03",60
"2026-05-10",59
"2026-05-17",60
"2026-05-24",64
"2026-05-31",59
"2026-06-07",58
"2026-06-14",61
"2026-06-21",65
"2026-06-28",67
