"Time","blocked nose"
"2025-06-29",48
"2025-07-06",47
"2025-07-13",41
"2025-07-20",45
"2025-07-27",47
"2025-08-03",50
"2025-08-10",44
"2025-08-17",45
"2025-08-24",47
"2025-08-31",53
"2025-09-07",55
"2025-09-14",70
"2025-09-21",90
"2025-09-28",84
"2025-10-05",73
"2025-10-12",66
"2025-10-19",67
"2025-10-26",71
"2025-11-02",56
"2025-11-09",58
"2025-11-16",67
"2025-11-23",84
"2025-11-30",80
"2025-12-07",82
"2025-12-14",86
"2025-12-21",100
"2025-12-28",100
"2026-01-04",85
"2026-01-11",75
"2026-01-18",79
"2026-01-25",77
"2026-02-01",78
"2026-02-08",73
"2026-02-15",72
"2026-02-22",68
"2026-03-01",65
"2026-03-08",70
"2026-03-15",82
"2026-03-22",86
"2026-03-29",77
"2026-04-05",76
"2026-04-12",64
"2026-04-19",68
"2026-04-26",62
"2026-05-03",66
"2026-05-10",65
"2026-05-17",64
"2026-05-24",60
"2026-05-31",56
"2026-06-07",62
"2026-06-14",77
"2026-06-21",62
"2026-06-28",70
