"Time","headache"
"2025-06-29",57
"2025-07-06",59
"2025-07-13",57
"2025-07-20",65
"2025-07-27",65
"2025-08-03",64
"2025-08-10",61
"2025-08-17",63
"2025-08-24",67
"2025-08-31",67
"2025-09-07",59
"2025-09-14",65
"2025-09-21",63
"2025-09-28",73
"2025-10-05",75
"2025-10-12",69
"2025-10-19",72
"2025-10-26",69
"2025-11-02",69
"2025-11-09",72
"2025-11-16",65
"2025-11-23",66
"2025-11-30",73
"2025-12-07",73
"2025-12-14",71
"2025-12-21",64
"2025-12-28",72
"2026-01-04",74
"2026-01-11",77
"2026-01-18",77
"2026-01-25",75
"2026-02-01",77
"2026-02-08",77
"2026-02-15",68
"2026-02-22",73
"2026-03-01",75
"2026-03-08",83
"2026-03-15",88
"2026-03-22",100
"2026-03-29",89
"2026-04-05",82
"2026-04-12",81
"2026-04-19",76
"2026-04-26",66
"2026-05-03",64
"2026-05-10",68
"2026-05-17",72
"2026-05-24",63
"2026-05-31",68
"2026-06-07",67
"2026-06-14",67
"2026-06-21",64
"2026-06-28",64
