"Time","muscle aches"
"2025-06-29",54
"2025-07-06",55
"2025-07-13",60
"2025-07-20",78
"2025-07-27",75
"2025-08-03",54
"2025-08-10",56
"2025-08-17",70
"2025-08-24",51
"2025-08-31",77
"2025-09-07",66
"2025-09-14",64
"2025-09-21",56
"2025-09-28",72
"2025-10-05",69
"2025-10-12",66
"2025-10-19",57
"2025-10-26",68
"2025-11-02",66
"2025-11-09",75
"2025-11-16",75
"2025-11-23",57
"2025-11-30",67
"2025-12-07",64
"2025-12-14",54
"2025-12-21",72
"2025-12-28",75
"2026-01-04",72
"2026-01-11",64
"2026-01-18",75
"2026-01-25",73
"2026-02-01",67
"2026-02-08",65
"2026-02-15",62
"2026-02-22",62
"2026-03-01",71
"2026-03-08",87
"2026-03-15",89
"2026-03-22",90
"2026-03-29",100
"2026-04-05",97
"2026-04-12",77
"2026-04-19",75
"2026-04-26",69
"2026-05-03",81
"2026-05-10",77
"2026-05-17",89
"2026-05-24",82
"2026-05-31",62
"2026-06-07",78
"2026-06-14",66
"2026-06-21",56
"2026-06-28",70
