"Time","fatigue"
"2025-06-29",54
"2025-07-06",58
"2025-07-13",60
"2025-07-20",61
"2025-07-27",64
"2025-08-03",66
"2025-08-10",58
"2025-08-17",58
"2025-08-24",53
"2025-08-31",54
"2025-09-07",53
"2025-09-14",51
"2025-09-21",52
"2025-09-28",52
"2025-10-05",59
"2025-10-12",57
"2025-10-19",52
"2025-10-26",51
"2025-11-02",59
"2025-11-09",57
"2025-11-16",54
"2025-11-23",54
"2025-11-30",57
"2025-12-07",58
"2025-12-14",58
"2025-12-21",46
"2025-12-28",52
"2026-01-04",59
"2026-01-11",67
"2026-01-18",67
"2026-01-25",68
"2026-02-01",74
"2026-02-08",76
"2026-02-15",73
"2026-02-22",79
"2026-03-01",72
"2026-03-08",78
"2026-03-15",90
"2026-03-22",99
"2026-03-29",100
"2026-04-05",99
"2026-04-12",81
"2026-04-19",80
"2026-04-26",80
"2026-05-03",75
"2026-05-10",74
"2026-05-17",81
"2026-05-24",64
"2026-05-31",74
"2026-06-07",74
"2026-06-14",67
"2026-06-21",52
"2026-06-28",63
