"Time","tired all the time"
"2025-06-29",69
"2025-07-06",84
"2025-07-13",89
"2025-07-20",93
"2025-07-27",90
"2025-08-03",77
"2025-08-10",70
"2025-08-17",81
"2025-08-24",72
"2025-08-31",60
"2025-09-07",64
"2025-09-14",56
"2025-09-21",59
"2025-09-28",62
"2025-10-05",60
"2025-10-12",67
"2025-10-19",68
"2025-10-26",49
"2025-11-02",64
"2025-11-09",66
"2025-11-16",58
"2025-11-23",53
"2025-11-30",47
"2025-12-07",52
"2025-12-14",53
"2025-12-21",48
"2025-12-28",60
"2026-01-04",49
"2026-01-11",70
"2026-01-18",73
"2026-01-25",62
"2026-02-01",66
"2026-02-08",70
"2026-02-15",70
"2026-02-22",71
"2026-03-01",80
"2026-03-08",75
"2026-03-15",79
"2026-03-22",85
"2026-03-29",75
"2026-04-05",71
"2026-04-12",80
"2026-04-19",76
"2026-04-26",70
"2026-05-03",82
"2026-05-10",92
"2026-05-17",100
"2026-05-24",64
"2026-05-31",89
"2026-06-07",99
"2026-06-14",94
"2026-06-21",51
"2026-06-28",82
