"Time","chills"
"2025-06-29",45
"2025-07-06",41
"2025-07-13",44
"2025-07-20",60
"2025-07-27",54
"2025-08-03",72
"2025-08-10",41
"2025-08-17",61
"2025-08-24",63
"2025-08-31",47
"2025-09-07",48
"2025-09-14",53
"2025-09-21",71
"2025-09-28",55
"2025-10-05",56
"2025-10-12",67
"2025-10-19",60
"2025-10-26",58
"2025-11-02",52
"2025-11-09",61
"2025-11-16",64
"2025-11-23",67
"2025-11-30",74
"2025-12-07",71
"2025-12-14",84
"2025-12-21",85
"2025-12-28",81
"2026-01-04",78
"2026-01-11",73
"2026-01-18",60
"2026-01-25",71
"2026-02-01",65
"2026-02-08",70
"2026-02-15",68
"2026-02-22",65
"2026-03-01",62
"2026-03-08",80
"2026-03-15",78
"2026-03-22",98
"2026-03-29",100
"2026-04-05",77
"2026-04-12",70
"2026-04-19",80
"2026-04-26",64
"2026-05-03",62
"2026-05-10",72
"2026-05-17",63
"2026-05-24",51
"2026-05-31",58
"2026-06-07",62
"2026-06-14",45
"2026-06-21",46
"2026-06-28",45
