"Time","body aches"
"2025-06-29",63
"2025-07-06",62
"2025-07-13",66
"2025-07-20",77
"2025-07-27",80
"2025-08-03",80
"2025-08-10",73
"2025-08-17",69
"2025-08-24",70
"2025-08-31",64
"2025-09-07",67
"2025-09-14",74
"2025-09-21",72
"2025-09-28",80
"2025-10-05",75
"2025-10-12",70
"2025-10-19",73
"2025-10-26",82
"2025-11-02",78
"2025-11-09",78
"2025-11-16",75
"2025-11-23",78
"2025-11-30",97
"2025-12-07",98
"2025-12-14",86
"2025-12-21",88
"2025-12-28",92
"2026-01-04",78
"2026-01-11",68
"2026-01-18",82
"2026-01-25",77
"2026-02-01",70
"2026-02-08",80
"2026-02-15",63
"2026-02-22",76
"2026-03-01",78
"2026-03-08",92
"2026-03-15",91
"2026-03-22",100
"2026-03-29",98
"2026-04-05",90
"2026-04-12",85
"2026-04-19",80
"2026-04-26",70
"2026-05-03",67
"2026-05-10",72
"2026-05-17",66
"2026-05-24",61
"2026-05-31",79
"2026-06-07",69
"2026-06-14",75
"2026-06-21",50
"2026-06-28",64
