"Time","mucus cough"
"2025-06-29",32
"2025-07-06",29
"2025-07-13",24
"2025-07-20",25
"2025-07-27",27
"2025-08-03",24
"2025-08-10",29
"2025-08-17",29
"2025-08-24",23
"2025-08-31",21
"2025-09-07",29
"2025-09-14",32
"2025-09-21",38
"2025-09-28",46
"2025-10-05",47
"2025-10-12",55
"2025-10-19",60
"2025-10-26",55
"2025-11-02",56
"2025-11-09",55
"2025-11-16",51
"2025-11-23",75
"2025-11-30",80
"2025-12-07",86
"2025-12-14",84
"2025-12-21",100
"2025-12-28",94
"2026-01-04",83
"2026-01-11",65
"2026-01-18",62
"2026-01-25",52
"2026-02-01",56
"2026-02-08",54
"2026-02-15",52
"2026-02-22",55
"2026-03-01",52
"2026-03-08",52
"2026-03-15",58
"2026-03-22",65
"2026-03-29",61
"2026-04-05",54
"2026-04-12",55
"2026-04-19",43
"2026-04-26",43
"2026-05-03",34
"2026-05-10",45
"2026-05-17",41
"2026-05-24",45
"2026-05-31",36
"2026-06-07",34
"2026-06-14",34
"2026-06-21",33
"2026-06-28",39
