"Time","loss of appetite"
"2025-06-29",74
"2025-07-06",71
"2025-07-13",77
"2025-07-20",78
"2025-07-27",75
"2025-08-03",73
"2025-08-10",78
"2025-08-17",80
"2025-08-24",73
"2025-08-31",62
"2025-09-07",77
"2025-09-14",72
"2025-09-21",70
"2025-09-28",65
"2025-10-05",75
"2025-10-12",65
"2025-10-19",71
"2025-10-26",61
"2025-11-02",84
"2025-11-09",75
"2025-11-16",80
"2025-11-23",98
"2025-11-30",100
"2025-12-07",97
"2025-12-14",100
"2025-12-21",89
"2025-12-28",80
"2026-01-04",76
"2026-01-11",83
"2026-01-18",78
"2026-01-25",71
"2026-02-01",64
"2026-02-08",73
"2026-02-15",63
"2026-02-22",70
"2026-03-01",77
"2026-03-08",93
"2026-03-15",83
"2026-03-22",96
"2026-03-29",98
"2026-04-05",83
"2026-04-12",88
"2026-04-19",74
"2026-04-26",77
"2026-05-03",76
"2026-05-10",63
"2026-05-17",72
"2026-05-24",89
"2026-05-31",81
"2026-06-07",74
"2026-06-14",69
"2026-06-21",62
"2026-06-28",73
