"Time","coughing up phlegm"
"2025-06-29",45
"2025-07-06",36
"2025-07-13",36
"2025-07-20",41
"2025-07-27",27
"2025-08-03",31
"2025-08-10",27
"2025-08-17",35
"2025-08-24",36
"2025-08-31",25
"2025-09-07",29
"2025-09-14",40
"2025-09-21",46
"2025-09-28",47
"2025-10-05",60
"2025-10-12",56
"2025-10-19",62
"2025-10-26",70
"2025-11-02",60
"2025-11-09",49
"2025-11-16",54
"2025-11-23",73
"2025-11-30",83
"2025-12-07",87
"2025-12-14",100
"2025-12-21",96
"2025-12-28",98
"2026-01-04",85
"2026-01-11",63
"2026-01-18",67
"2026-01-25",55
"2026-02-01",56
"2026-02-08",67
"2026-02-15",57
"2026-02-22",56
"2026-03-01",50
"2026-03-08",60
"2026-03-15",64
"2026-03-22",76
"2026-03-29",61
"2026-04-05",58
"2026-04-12",53
"2026-04-19",54
"2026-04-26",46
"2026-05-03",54
"2026-05-10",51
"2026-05-17",56
"2026-05-24",57
"2026-05-31",48
"2026-06-07",39
"2026-06-14",39
"2026-06-21",37
"2026-06-28",43
