"Time","blocked nose"
"2021-07-01",65
"2021-08-01",64
"2021-09-01",94
"2021-10-01",88
"2021-11-01",77
"2021-12-01",94
"2022-01-01",62
"2022-02-01",65
"2022-03-01",71
"2022-04-01",62
"2022-05-01",48
"2022-06-01",68
"2022-07-01",50
"2022-08-01",38
"2022-09-01",59
"2022-10-01",58
"2022-11-01",55
"2022-12-01",100
"2023-01-01",56
"2023-02-01",63
"2023-03-01",58
"2023-04-01",55
"2023-05-01",56
"2023-06-01",58
"2023-07-01",48
"2023-08-01",42
"2023-09-01",52
"2023-10-01",60
"2023-11-01",58
"2023-12-01",70
"2024-01-01",56
"2024-02-01",64
"2024-03-01",59
"2024-04-01",59
"2024-05-01",48
"2024-06-01",64
"2024-07-01",49
"2024-08-01",38
"2024-09-01",56
"2024-10-01",55
"2024-11-01",60
"2024-12-01",65
"2025-01-01",60
"2025-02-01",65
"2025-03-01",57
"2025-04-01",55
"2025-05-01",52
"2025-06-01",54
"2025-07-01",38
"2025-08-01",40
"2025-09-01",58
"2025-10-01",58
"2025-11-01",55
"2025-12-01",70
"2026-01-01",61
"2026-02-01",59
"2026-03-01",64
"2026-04-01",60
"2026-05-01",54
"2026-06-01",55
