"Time","coughing up phlegm"
"2021-07-01",42
"2021-08-01",42
"2021-09-01",53
"2021-10-01",67
"2021-11-01",53
"2021-12-01",59
"2022-01-01",42
"2022-02-01",36
"2022-03-01",44
"2022-04-01",44
"2022-05-01",38
"2022-06-01",40
"2022-07-01",41
"2022-08-01",33
"2022-09-01",32
"2022-10-01",49
"2022-11-01",48
"2022-12-01",100
"2023-01-01",63
"2023-02-01",54
"2023-03-01",46
"2023-04-01",41
"2023-05-01",42
"2023-06-01",34
"2023-07-01",32
"2023-08-01",31
"2023-09-01",32
"2023-10-01",43
"2023-11-01",51
"2023-12-01",73
"2024-01-01",62
"2024-02-01",57
"2024-03-01",54
"2024-04-01",52
"2024-05-01",41
"2024-06-01",40
"2024-07-01",35
"2024-08-01",25
"2024-09-01",30
"2024-10-01",38
"2024-11-01",46
"2024-12-01",71
"2025-01-01",49
"2025-02-01",47
"2025-03-01",44
"2025-04-01",43
"2025-05-01",32
"2025-06-01",27
"2025-07-01",26
"2025-08-01",23
"2025-09-01",26
"2025-10-01",41
"2025-11-01",41
"2025-12-01",64
"2026-01-01",48
"2026-02-01",40
"2026-03-01",43
"2026-04-01",38
"2026-05-01",37
"2026-06-01",28
