,,,,FluSurveillance_Custom_Download_Data HOSPITALISATION,,,Waste water data,,ILI GP data,,,,ICL Lab tests ,,,,Google trends,,,
CATCHMENT,NETWORK,YEAR,WEEK,WEEKLY RATE,,sample_collect_date,pcr_target_mic_lin,,YEAR,WEEK,%UNWEIGHTED ILI,,YEAR,WEEK,PERCENT A,,Time,cough,dry cough,sore throat
New York - Rochester,EIP,2017,40,0.3,,31-Jul-23,0,,2018,40,0.964964,,2018,40,0.34,,01-Jul-21,44,51,55
New York - Albany,EIP,2017,40,0,,02-Aug-23,0,,2018,41,0.98214,,2018,41,0.35,,01-Aug-21,44,54,51
Entire Network,FluSurv-NET,2017,40,0.1,,04-Aug-23,0.00001,,2018,42,1.1082,,2018,42,0.34,,01-Sep-21,45,47,52
New York - Rochester,EIP,2017,41,0,,07-Aug-23,0,,2018,43,1.13962,,2018,43,0.33,,01-Oct-21,53,55,64
Entire Network,FluSurv-NET,2017,41,0.1,,09-Aug-23,0,,2018,44,1.26942,,2018,44,0.39,,01-Nov-21,58,62,62
New York - Albany,EIP,2017,41,0.1,,11-Aug-23,0.00001,,2018,45,1.09622,,2018,45,0.71,,01-Dec-21,72,98,100
Entire Network,FluSurv-NET,2017,42,0.2,,14-Aug-23,0,,2018,46,1.10866,,2018,46,1.18,,01-Jan-22,68,86,79
New York - Rochester,EIP,2017,42,0.1,,16-Aug-23,0.00003,,2018,47,1.34015,,2018,47,1.46,,01-Feb-22,37,37,43
New York - Albany,EIP,2017,42,0.1,,18-Aug-23,0.00001,,2018,48,1.31799,,2018,48,2.42,,01-Mar-22,47,45,56
New York - Rochester,EIP,2017,43,0.1,,21-Aug-23,0,,2018,49,1.46959,,2018,49,2.45,,01-Apr-22,62,70,72
Entire Network,FluSurv-NET,2017,43,0.2,,23-Aug-23,0.00001,,2018,50,1.95702,,2018,50,5.5,,01-May-22,66,74,78
New York - Albany,EIP,2017,43,0.1,,25-Aug-23,0,,2018,51,2.42423,,2018,51,8.39,,01-Jun-22,57,65,67
Entire Network,FluSurv-NET,2017,44,0.3,,28-Aug-23,0,,2018,52,3.02311,,2018,52,12.83,,01-Jul-22,51,56,67
New York - Rochester,EIP,2017,44,0,,28-Aug-23,0,,2019,1,2.7959,,2019,1,13.32,,01-Aug-22,43,44,53
New York - Albany,EIP,2017,44,0.1,,30-Aug-23,0,,2019,2,2.53648,,2019,2,14.11,,01-Sep-22,51,47,66
New York - Rochester,EIP,2017,45,0,,30-Aug-23,0,,2019,3,3.0807,,2019,3,17.98,,01-Oct-22,69,68,73
Entire Network,FluSurv-NET,2017,45,0.3,,01-Sep-23,0,,2019,4,3.47274,,2019,4,22.77,,01-Nov-22,86,84,81
New York - Albany,EIP,2017,45,0.1,,04-Sep-23,0,,2019,5,3.43565,,2019,5,21.98,,01-Dec-22,100,100,90
Entire Network,FluSurv-NET,2017,46,0.4,,06-Sep-23,0,,2019,6,3.87097,,2019,6,26.75,,01-Jan-23,61,67,66
New York - Rochester,EIP,2017,46,0.3,,06-Sep-23,0.00002,,2019,7,4.53822,,2019,7,27.18,,01-Feb-23,55,52,60
New York - Albany,EIP,2017,46,0.4,,08-Sep-23,0,,2019,8,4.04967,,2019,8,27.6,,01-Mar-23,55,54,65
New York - Rochester,EIP,2017,47,0.4,,08-Sep-23,0,,2019,9,3.24017,,2019,9,21.01,,01-Apr-23,51,51,59
Entire Network,FluSurv-NET,2017,47,0.8,,11-Sep-23,0,,2019,10,3.19059,,2019,10,20.58,,01-May-23,50,54,69
New York - Albany,EIP,2017,47,0.2,,11-Sep-23,0,,2019,11,3.2431,,2019,11,22.24,,01-Jun-23,42,48,50
Entire Network,FluSurv-NET,2017,48,1.2,,13-Sep-23,0.00003,,2019,12,3.26153,,2019,12,19.26,,01-Jul-23,37,41,46
New York - Rochester,EIP,2017,48,0.8,,15-Sep-23,0,,2019,13,2.74534,,2019,13,18.53,,01-Aug-23,41,43,46
New York - Albany,EIP,2017,48,1.4,,15-Sep-23,0.00001,,2019,14,2.74644,,2019,14,10.78,,01-Sep-23,48,47,48
New York - Rochester,EIP,2017,49,1.4,,18-Sep-23,0,,2019,15,2.08497,,2019,15,13.52,,01-Oct-23,62,63,55
Entire Network,FluSurv-NET,2017,49,1.4,,18-Sep-23,0.00003,,2019,16,1.77157,,2019,16,8.72,,01-Nov-23,76,71,61
New York - Albany,EIP,2017,49,1.3,,20-Sep-23,0.00001,,2019,17,1.26076,,2019,17,4.57,,01-Dec-23,89,92,75
Entire Network,FluSurv-NET,2017,50,2.3,,20-Sep-23,0,,2019,18,1.15328,,2019,18,1.73,,01-Jan-24,73,71,58
New York - Rochester,EIP,2017,50,3.4,,22-Sep-23,0,,2019,19,0.897742,,2019,19,2.22,,01-Feb-24,60,60,60
New York - Albany,EIP,2017,50,2.2,,22-Sep-23,0.00001,,2019,20,0.812505,,2019,20,1.38,,01-Mar-24,52,51,61
New York - Rochester,EIP,2017,51,7,,25-Sep-23,0,,2019,21,0.898427,,2019,21,1.27,,01-Apr-24,51,52,56
Entire Network,FluSurv-NET,2017,51,4.6,,25-Sep-23,0,,2019,22,0.918154,,2019,22,1.44,,01-May-24,49,52,56
New York - Albany,EIP,2017,51,3.7,,27-Sep-23,0,,2019,23,0.789753,,2019,23,0.52,,01-Jun-24,42,45,49
Entire Network,FluSurv-NET,2017,52,8.2,,27-Sep-23,0,,2019,24,0.668978,,2019,24,0.46,,01-Jul-24,39,39,43
New York - Rochester,EIP,2017,52,8,,29-Sep-23,0.00001,,2019,25,0.729279,,2019,25,0.53,,01-Aug-24,40,38,46
New York - Albany,EIP,2017,52,6.8,,02-Oct-23,0,,2019,26,0.692452,,2019,26,0.1,,01-Sep-24,54,50,54
New York - Rochester,EIP,2018,1,12,,03-Oct-23,0,,2019,27,0.677309,,2019,27,0.24,,01-Oct-24,63,56,48
Entire Network,FluSurv-NET,2018,1,10.2,,04-Oct-23,0.00003,,2019,28,0.606159,,2019,28,0.23,,01-Nov-24,67,64,53
New York - Albany,EIP,2018,1,9.1,,09-Oct-23,0,,2019,29,0.496888,,2019,29,0.46,,01-Dec-24,78,78,64
Entire Network,FluSurv-NET,2018,2,9.8,,11-Oct-23,0,,2019,30,0.510265,,2019,30,0.41,,01-Jan-25,79,81,61
New York - Rochester,EIP,2018,2,13.1,,11-Oct-23,0,,2019,31,0.496411,,2019,31,0.26,,01-Feb-25,68,69,57
New York - Albany,EIP,2018,2,8.6,,23-Oct-23,0.00003,,2019,32,0.582389,,2019,32,0.5,,01-Mar-25,51,50,47
New York - Rochester,EIP,2018,3,11.2,,25-Oct-23,0,,2019,33,0.487924,,2019,33,0.12,,01-Apr-25,50,50,54
Entire Network,FluSurv-NET,2018,3,8.9,,01-Nov-23,0,,2019,34,0.492445,,2019,34,1.07,,01-May-25,49,45,52
New York - Albany,EIP,2018,3,9.2,,07-Nov-23,0.00003,,2019,35,0.51099,,2019,35,0.59,,01-Jun-25,41,46,48
Entire Network,FluSurv-NET,2018,4,8.5,,08-Nov-23,0.00001,,2019,36,0.53943,,2019,36,0.93,,01-Jul-25,38,41,42
New York - Rochester,EIP,2018,4,15.2,,09-Nov-23,0.00001,,2019,37,0.717335,,2019,37,0.86,,01-Aug-25,36,36,44
New York - Albany,EIP,2018,4,12.3,,10-Nov-23,0.00003,,2019,38,0.853393,,2019,38,0.73,,01-Sep-25,46,43,52
New York - Rochester,EIP,2018,5,14.1,,14-Nov-23,0.00003,,2019,39,0.952203,,2019,39,0.66,,01-Oct-25,50,47,47
Entire Network,FluSurv-NET,2018,5,7.8,,15-Nov-23,0.00001,,2019,40,0.883474,,2019,40,0.3,,01-Nov-25,67,60,59
New York - Albany,EIP,2018,5,11.9,,17-Nov-23,0.00001,,2019,41,1.00583,,2019,41,0.41,,01-Dec-25,94,92,83
Entire Network,FluSurv-NET,2018,6,7,,17-Nov-23,0,,2019,42,1.09797,,2019,42,0.26,,01-Jan-26,69,64,59
New York - Rochester,EIP,2018,6,12.4,,20-Nov-23,0.00003,,2019,43,1.03963,,2019,43,0.42,,01-Feb-26,59,58,53
New York - Albany,EIP,2018,6,10.3,,21-Nov-23,0,,2019,44,1.23284,,2019,44,0.89,,01-Mar-26,71,65,66
New York - Rochester,EIP,2018,7,11.7,,21-Nov-23,0.00005,,2019,45,1.29974,,2019,45,0.98,,01-Apr-26,69,70,69
Entire Network,FluSurv-NET,2018,7,6.3,,22-Nov-23,0,,2019,46,1.37191,,2019,46,1.18,,01-May-26,71,75,84
New York - Albany,EIP,2018,7,10.9,,24-Nov-23,0,,2019,47,1.44615,,2019,47,1.83,,01-Jun-26,58,62,71
Entire Network,FluSurv-NET,2018,8,5.2,,29-Nov-23,0.00024,,2019,48,1.95974,,2019,48,2.87,,,,,
New York - Rochester,EIP,2018,8,9.2,,01-Dec-23,0.00003,,2019,49,1.94126,,2019,49,3.81,,,,,
New York - Albany,EIP,2018,8,10.2,,04-Dec-23,0.00004,,2019,50,2.28183,,2019,50,5.84,,,,,
New York - Rochester,EIP,2018,9,7.9,,04-Dec-23,0.00003,,2019,51,3.35442,,2019,51,7.06,,,,,
Entire Network,FluSurv-NET,2018,9,3.6,,05-Dec-23,0.00006,,2019,52,5.17193,,2019,52,10.82,,,,,
New York - Albany,EIP,2018,9,5.7,,11-Dec-23,0.0009,,2020,1,5.23796,,2020,1,9.96,,,,,
Entire Network,FluSurv-NET,2018,10,2.8,,12-Dec-23,0.00033,,2020,2,3.89487,,2020,2,11.08,,,,,
New York - Rochester,EIP,2018,10,5.4,,13-Dec-23,0.00045,,2020,3,4.98993,,2020,3,13.17,,,,,
New York - Albany,EIP,2018,10,3.8,,15-Dec-23,0.00025,,2020,4,6.29803,,2020,4,14.33,,,,,
New York - Rochester,EIP,2018,11,5.8,,18-Dec-23,0.00027,,2020,5,6.96812,,2020,5,15.69,,,,,
Entire Network,FluSurv-NET,2018,11,2.8,,20-Dec-23,0.00078,,2020,6,7.51562,,2020,6,16.07,,,,,
New York - Albany,EIP,2018,11,3.5,,20-Dec-23,0.0005,,2020,7,6.25291,,2020,7,17.19,,,,,
Entire Network,FluSurv-NET,2018,12,2.3,,26-Dec-23,0.00022,,2020,8,4.85567,,2020,8,15.75,,,,,
New York - Rochester,EIP,2018,12,5.5,,27-Dec-23,0.00041,,2020,9,3.78471,,2020,9,16.09,,,,,
New York - Albany,EIP,2018,12,2.8,,29-Dec-23,0.0003,,2020,10,3.69374,,2020,10,12.41,,,,,
New York - Rochester,EIP,2018,13,7.7,,02-Jan-24,0.00042,,2020,11,6.12276,,2020,11,10.46,,,,,
Entire Network,FluSurv-NET,2018,13,2.2,,05-Jan-24,0.00146,,2020,12,7.90347,,2020,12,5.03,,,,,
New York - Albany,EIP,2018,13,3.4,,05-Jan-24,0.00022,,2020,13,7.98081,,2020,13,1.3,,,,,
Entire Network,FluSurv-NET,2018,14,1.9,,10-Jan-24,0.0006,,2020,14,7.09741,,2020,14,0.54,,,,,
New York - Rochester,EIP,2018,14,7.3,,10-Jan-24,0.00011,,2020,15,4.76863,,2020,15,0,,,,,
New York - Albany,EIP,2018,14,2.9,,12-Jan-24,0.0004,,2020,16,3.30446,,2020,16,0,,,,,
New York - Rochester,EIP,2018,15,4.6,,15-Jan-24,0.0001,,2020,17,2.00144,,2020,17,0.22,,,,,
