record_id,site,state_territory,source,county_fips,counties_served,population_served,sample_id,sample_collect_date,sample_type,sample_matrix,sample_location,flow_rate,concentration_method,pasteurized,pcr_type,extraction_method,major_lab_method,inhibition_detect,inhibition_adjust,ntc_amplify,pcr_target,pcr_gene_target_agg,pcr_target_avg_conc,pcr_target_units,lod_sewage,pcr_target_detect,pcr_target_avg_conc_lin,pcr_target_flowpop_lin,pcr_target_mic_lin,hum_frac_target_mic,hum_frac_mic_conc,hum_frac_mic_unit,rec_eff_percent,rec_eff_target_name,rec_eff_spike_matrix,rec_eff_spike_conc,date_updated
448f9e098e5b9a980e08c0fe9a1e945d,1378,ny,WastewaterSCAN,36075,Oswego,"30,000",17e9ce13dd2f096ee632d903a8f0ce5e,31/07/2023,24-hr flow-weighted composite,post grit removal,wwtp,,none,no,ddpcr,chemagic viral dna/rna 300 kit,1,not tested,,no,fluav,infa1,0,copies/g dry sludge,"1,100",no,550,,0,pepper mild mottle virus,"356,300,982.34",copies/g dry sludge,126.9,bcov vaccine,dewatered solids,4,2026 Jun 26 11:01:00 AM
97b04cf9f05b6380070cfcd307ad80e7,1378,ny,WastewaterSCAN,36075,Oswego,"30,000",3e193223a42bd4cf210cd88c74e863b0,02/08/2023,24-hr flow-weighted composite,post grit removal,wwtp,,none,no,ddpcr,chemagic viral dna/rna 300 kit,1,not tested,,no,fluav,infa1,0,copies/g dry sludge,"1,100",no,550,,0,pepper mild mottle virus,"121,056,771.46",copies/g dry sludge,200.2,bcov vaccine,dewatered solids,4,2026 Jun 26 11:01:00 AM
bf46473f8dcec9e89bde279314e7e70d,1378,ny,WastewaterSCAN,36075,Oswego,"30,000",fd7eee7e323f76a682b131659a8f9e12,04/08/2023,24-hr flow-weighted composite,post grit removal,wwtp,,none,no,ddpcr,chemagic viral dna/rna 300 kit,1,not tested,,no,fluav,infa1,0,copies/g dry sludge,"1,100",no,550,,0.00001,pepper mild mottle virus,"81,833,889.80",copies/g dry sludge,56.4,bcov vaccine,dewatered solids,4,2026 Jun 26 11:01:00 AM
4cc12a4b1e567352d0ce9ddcb5f42b98,1378,ny,WastewaterSCAN,36075,Oswego,"30,000",2c2374278e06847168f63784f5f4c4de,07/08/2023,24-hr flow-weighted composite,post grit removal,wwtp,,none,no,ddpcr,chemagic viral dna/rna 300 kit,1,not tested,,no,fluav,infa1,0,copies/g dry sludge,"1,100",no,550,,0,pepper mild mottle virus,"205,704,930.80",copies/g dry sludge,175,bcov vaccine,dewatered solids,4,2026 Jun 26 11:01:00 AM
c2628d7a546eefaf925e85bad5e7d323,1378,ny,WastewaterSCAN,36075,Oswego,"30,000",75b109be02e3c8a361fa4c38961f1829,09/08/2023,24-hr flow-weighted composite,post grit removal,wwtp,,none,no,ddpcr,chemagic viral dna/rna 300 kit,1,not tested,,no,fluav,infa1,0,copies/g dry sludge,"1,100",no,550,,0,pepper mild mottle virus,"334,609,656.46",copies/g dry sludge,124.2,bcov vaccine,dewatered solids,4,2026 Jun 26 11:01:00 AM
38d24f2f0401fdf6336809af87f02de6,1378,ny,WastewaterSCAN,36075,Oswego,"30,000",5108bfa89b66ec3802e092a2ba2a6d27,11/08/2023,24-hr flow-weighted composite,post grit removal,wwtp,,none,no,ddpcr,chemagic viral dna/rna 300 kit,1,not tested,,no,fluav,infa1,0,copies/g dry sludge,"1,100",no,550,,0.00001,pepper mild mottle virus,"92,930,444.80",copies/g dry sludge,110.5,bcov vaccine,dewatered solids,4,2026 Jun 26 11:01:00 AM
ee44bce189ade2a04c3bfacd19dc7c9b,1378,ny,WastewaterSCAN,36075,Oswego,"30,000",2eb782d1abc63a352dc7b050bfb76781,14/08/2023,24-hr flow-weighted composite,post grit removal,wwtp,,none,no,ddpcr,chemagic viral dna/rna 300 kit,1,not tested,,no,fluav,infa1,0,copies/g dry sludge,"1,100",no,550,,0,pepper mild mottle virus,"171,928,710.96",copies/g dry sludge,256.4,bcov vaccine,dewatered solids,4,2026 Jun 26 11:01:00 AM
2c28d561f3c5907cebb0ffb2fe7f5ace,1378,ny,WastewaterSCAN,36075,Oswego,"30,000",02ef8353d9bcc8a374d75aa2c0c0fede,16/08/2023,24-hr flow-weighted composite,post grit removal,wwtp,,none,no,ddpcr,chemagic viral dna/rna 300 kit,1,not tested,,no,fluav,infa1,"4,495.81",copies/g dry sludge,"1,100",yes,"4,495.81",,0.00003,pepper mild mottle virus,"160,577,626.23",copies/g dry sludge,189.7,bcov vaccine,dewatered solids,4,2026 Jun 26 11:01:00 AM
9103ce67089bd58e02df594c7c14f866,1378,ny,WastewaterSCAN,36075,Oswego,"30,000",2e89d09580592b8def088283567f4887,18/08/2023,24-hr flow-weighted composite,post grit removal,wwtp,,none,no,ddpcr,chemagic viral dna/rna 300 kit,1,not tested,,no,fluav,infa1,0,copies/g dry sludge,"1,100",no,550,,0.00001,pepper mild mottle virus,"105,683,128.40",copies/g dry sludge,149.3,bcov vaccine,dewatered solids,4,2026 Jun 26 11:01:00 AM
438a3659a73f2dc9ece1438b2cb0d3bc,1378,ny,WastewaterSCAN,36075,Oswego,"30,000",5c8898c6f3b5f753103fef83e38747aa,21/08/2023,24-hr flow-weighted composite,post grit removal,wwtp,,none,no,ddpcr,chemagic viral dna/rna 300 kit,1,not tested,,no,fluav,infa1,0,copies/g dry sludge,"1,100",no,550,,0,pepper mild mottle virus,"174,797,108.65",copies/g dry sludge,125,bcov vaccine,dewatered solids,4,2026 Jun 26 11:01:00 AM
