"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Jul-01-2026)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,YEAR,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE, LOWER, MEDIAN, UPPER 
New York - Rochester,EIP,2017-18,2017,40,Overall,Overall,White,Overall,0.3,0.3,null,null,null,null,null
New York - Rochester,EIP,2017-18,2017,40,Overall,Overall,Black,Overall,0,0,null,null,null,null,null
New York - Rochester,EIP,2017-18,2017,40,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null,null,null,null
New York - Rochester,EIP,2017-18,2017,40,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null,null,null,null
New York - Rochester,EIP,2017-18,2017,40,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null,null,null,null
New York - Rochester,EIP,2017-18,2017,40,Overall,Male,Overall,Overall,0.2,0.2,null,null,null,null,null
New York - Rochester,EIP,2017-18,2017,40,Overall,Female,Overall,Overall,0.3,0.3,null,null,null,null,null
New York - Rochester,EIP,2017-18,2017,40,Overall,Overall,Overall,Influenza A,0.2,0.2,null,null,null,null,null
New York - Rochester,EIP,2017-18,2017,40,Overall,Overall,Overall,Influenza B,0.1,0.1,null,null,null,null,null
New York - Rochester,EIP,2017-18,2017,40,Overall,Overall,Overall,A(H1N1)pdm09,0.0880356,0.0880356,null,null,null,null,null
New York - Rochester,EIP,2017-18,2017,40,Overall,Overall,Overall,Overall,0.3,0.3,null,null,null,null,null
New York - Rochester,EIP,2017-18,2017,40,Overall,Overall,Overall,A(H3N2),0.171041,0.171041,null,null,null,null,null
New York - Albany,EIP,2017-18,2017,40,Overall,Overall,White,Overall,0,0,null,null,null,null,null
New York - Albany,EIP,2017-18,2017,40,Overall,Overall,Black,Overall,0,0,null,null,null,null,null
New York - Albany,EIP,2017-18,2017,40,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null,null,null,null
New York - Albany,EIP,2017-18,2017,40,Overall,Overall,Asian/Pacific Islander,Overall,0,0,null,null,null,null,null
New York - Albany,EIP,2017-18,2017,40,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null,null,null,null
New York - Albany,EIP,2017-18,2017,40,Overall,Male,Overall,Overall,0,0,null,null,null,null,null
New York - Albany,EIP,2017-18,2017,40,Overall,Female,Overall,Overall,0,0,null,null,null,null,null
