"Time","cough"
"2021-07-01",44
"2021-08-01",44
"2021-09-01",45
"2021-10-01",53
"2021-11-01",58
"2021-12-01",72
"2022-01-01",68
"2022-02-01",37
"2022-03-01",47
"2022-04-01",62
"2022-05-01",66
"2022-06-01",57
"2022-07-01",51
"2022-08-01",43
"2022-09-01",51
"2022-10-01",69
"2022-11-01",86
"2022-12-01",100
"2023-01-01",61
"2023-02-01",55
"2023-03-01",55
"2023-04-01",51
"2023-05-01",50
"2023-06-01",42
"2023-07-01",37
"2023-08-01",41
"2023-09-01",48
"2023-10-01",62
"2023-11-01",76
"2023-12-01",89
"2024-01-01",73
"2024-02-01",60
"2024-03-01",52
"2024-04-01",51
"2024-05-01",49
"2024-06-01",42
"2024-07-01",39
"2024-08-01",40
"2024-09-01",54
"2024-10-01",63
"2024-11-01",67
"2024-12-01",78
"2025-01-01",79
"2025-02-01",68
"2025-03-01",51
"2025-04-01",50
"2025-05-01",49
"2025-06-01",41
"2025-07-01",38
"2025-08-01",36
"2025-09-01",46
"2025-10-01",50
"2025-11-01",67
"2025-12-01",94
"2026-01-01",69
"2026-02-01",59
"2026-03-01",71
"2026-04-01",69
"2026-05-01",71
"2026-06-01",58
