"Time","dry cough"
"2021-07-01",51
"2021-08-01",54
"2021-09-01",47
"2021-10-01",55
"2021-11-01",62
"2021-12-01",98
"2022-01-01",86
"2022-02-01",37
"2022-03-01",45
"2022-04-01",70
"2022-05-01",74
"2022-06-01",65
"2022-07-01",56
"2022-08-01",44
"2022-09-01",47
"2022-10-01",68
"2022-11-01",84
"2022-12-01",100
"2023-01-01",67
"2023-02-01",52
"2023-03-01",54
"2023-04-01",51
"2023-05-01",54
"2023-06-01",48
"2023-07-01",41
"2023-08-01",43
"2023-09-01",47
"2023-10-01",63
"2023-11-01",71
"2023-12-01",92
"2024-01-01",71
"2024-02-01",60
"2024-03-01",51
"2024-04-01",52
"2024-05-01",52
"2024-06-01",45
"2024-07-01",39
"2024-08-01",38
"2024-09-01",50
"2024-10-01",56
"2024-11-01",64
"2024-12-01",78
"2025-01-01",81
"2025-02-01",69
"2025-03-01",50
"2025-04-01",50
"2025-05-01",45
"2025-06-01",46
"2025-07-01",41
"2025-08-01",36
"2025-09-01",43
"2025-10-01",47
"2025-11-01",60
"2025-12-01",92
"2026-01-01",64
"2026-02-01",58
"2026-03-01",65
"2026-04-01",70
"2026-05-01",75
"2026-06-01",62
