"Time","chesty cough"
"2021-07-01",0
"2021-08-01",0
"2021-09-01",0
"2021-10-01",56
"2021-11-01",0
"2021-12-01",0
"2022-01-01",60
"2022-02-01",79
"2022-03-01",0
"2022-04-01",52
"2022-05-01",0
"2022-06-01",0
"2022-07-01",49
"2022-08-01",0
"2022-09-01",0
"2022-10-01",0
"2022-11-01",66
"2022-12-01",52
"2023-01-01",40
"2023-02-01",0
"2023-03-01",0
"2023-04-01",0
"2023-05-01",46
"2023-06-01",0
"2023-07-01",0
"2023-08-01",51
"2023-09-01",0
"2023-10-01",38
"2023-11-01",60
"2023-12-01",59
"2024-01-01",76
"2024-02-01",0
"2024-03-01",48
"2024-04-01",0
"2024-05-01",0
"2024-06-01",0
"2024-07-01",0
"2024-08-01",0
"2024-09-01",0
"2024-10-01",0
"2024-11-01",58
"2024-12-01",74
"2025-01-01",0
"2025-02-01",55
"2025-03-01",0
"2025-04-01",51
"2025-05-01",0
"2025-06-01",0
"2025-07-01",0
"2025-08-01",50
"2025-09-01",0
"2025-10-01",50
"2025-11-01",0
"2025-12-01",55
"2026-01-01",0
"2026-02-01",49
"2026-03-01",0
"2026-04-01",67
"2026-05-01",100
"2026-06-01",68
