"Time","sore throat"
"2021-07-01",55
"2021-08-01",51
"2021-09-01",52
"2021-10-01",64
"2021-11-01",62
"2021-12-01",100
"2022-01-01",79
"2022-02-01",43
"2022-03-01",56
"2022-04-01",72
"2022-05-01",78
"2022-06-01",67
"2022-07-01",67
"2022-08-01",53
"2022-09-01",66
"2022-10-01",73
"2022-11-01",81
"2022-12-01",90
"2023-01-01",66
"2023-02-01",60
"2023-03-01",65
"2023-04-01",59
"2023-05-01",69
"2023-06-01",50
"2023-07-01",46
"2023-08-01",46
"2023-09-01",48
"2023-10-01",55
"2023-11-01",61
"2023-12-01",75
"2024-01-01",58
"2024-02-01",60
"2024-03-01",61
"2024-04-01",56
"2024-05-01",56
"2024-06-01",49
"2024-07-01",43
"2024-08-01",46
"2024-09-01",54
"2024-10-01",48
"2024-11-01",53
"2024-12-01",64
"2025-01-01",61
"2025-02-01",57
"2025-03-01",47
"2025-04-01",54
"2025-05-01",52
"2025-06-01",48
"2025-07-01",42
"2025-08-01",44
"2025-09-01",52
"2025-10-01",47
"2025-11-01",59
"2025-12-01",83
"2026-01-01",59
"2026-02-01",53
"2026-03-01",66
"2026-04-01",69
"2026-05-01",84
"2026-06-01",71
