"Time","high temperature"
"2021-07-01",20
"2021-08-01",19
"2021-09-01",21
"2021-10-01",23
"2021-11-01",22
"2021-12-01",23
"2022-01-01",28
"2022-02-01",27
"2022-03-01",28
"2022-04-01",28
"2022-05-01",29
"2022-06-01",25
"2022-07-01",23
"2022-08-01",20
"2022-09-01",21
"2022-10-01",25
"2022-11-01",27
"2022-12-01",25
"2023-01-01",23
"2023-02-01",25
"2023-03-01",24
"2023-04-01",25
"2023-05-01",22
"2023-06-01",20
"2023-07-01",19
"2023-08-01",18
"2023-09-01",22
"2023-10-01",23
"2023-11-01",25
"2023-12-01",23
"2024-01-01",23
"2024-02-01",26
"2024-03-01",25
"2024-04-01",25
"2024-05-01",24
"2024-06-01",24
"2024-07-01",21
"2024-08-01",18
"2024-09-01",22
"2024-10-01",24
"2024-11-01",25
"2024-12-01",22
"2025-01-01",25
"2025-02-01",26
"2025-03-01",31
"2025-04-01",26
"2025-05-01",25
"2025-06-01",34
"2025-07-01",39
"2025-08-01",27
"2025-09-01",27
"2025-10-01",28
"2025-11-01",45
"2025-12-01",60
"2026-01-01",90
"2026-02-01",92
"2026-03-01",100
"2026-04-01",83
"2026-05-01",78
"2026-06-01",71
