"Time","shortness of breath"
"2021-07-01",35
"2021-08-01",36
"2021-09-01",34
"2021-10-01",33
"2021-11-01",33
"2021-12-01",47
"2022-01-01",46
"2022-02-01",42
"2022-03-01",38
"2022-04-01",38
"2022-05-01",35
"2022-06-01",34
"2022-07-01",35
"2022-08-01",34
"2022-09-01",32
"2022-10-01",34
"2022-11-01",33
"2022-12-01",33
"2023-01-01",35
"2023-02-01",37
"2023-03-01",35
"2023-04-01",34
"2023-05-01",33
"2023-06-01",36
"2023-07-01",30
"2023-08-01",36
"2023-09-01",31
"2023-10-01",32
"2023-11-01",30
"2023-12-01",33
"2024-01-01",30
"2024-02-01",35
"2024-03-01",35
"2024-04-01",35
"2024-05-01",38
"2024-06-01",34
"2024-07-01",36
"2024-08-01",35
"2024-09-01",35
"2024-10-01",35
"2024-11-01",35
"2024-12-01",35
"2025-01-01",37
"2025-02-01",41
"2025-03-01",39
"2025-04-01",36
"2025-05-01",33
"2025-06-01",31
"2025-07-01",35
"2025-08-01",34
"2025-09-01",36
"2025-10-01",35
"2025-11-01",39
"2025-12-01",42
"2026-01-01",47
"2026-02-01",52
"2026-03-01",76
"2026-04-01",73
"2026-05-01",88
"2026-06-01",100
