"Time","fever"
"2021-07-01",43
"2021-08-01",48
"2021-09-01",48
"2021-10-01",50
"2021-11-01",52
"2021-12-01",82
"2022-01-01",74
"2022-02-01",44
"2022-03-01",51
"2022-04-01",61
"2022-05-01",70
"2022-06-01",59
"2022-07-01",61
"2022-08-01",54
"2022-09-01",55
"2022-10-01",55
"2022-11-01",74
"2022-12-01",88
"2023-01-01",58
"2023-02-01",55
"2023-03-01",55
"2023-04-01",53
"2023-05-01",53
"2023-06-01",47
"2023-07-01",47
"2023-08-01",48
"2023-09-01",48
"2023-10-01",48
"2023-11-01",53
"2023-12-01",73
"2024-01-01",62
"2024-02-01",62
"2024-03-01",59
"2024-04-01",59
"2024-05-01",83
"2024-06-01",90
"2024-07-01",76
"2024-08-01",74
"2024-09-01",93
"2024-10-01",52
"2024-11-01",50
"2024-12-01",68
"2025-01-01",80
"2025-02-01",73
"2025-03-01",58
"2025-04-01",54
"2025-05-01",74
"2025-06-01",76
"2025-07-01",82
"2025-08-01",64
"2025-09-01",67
"2025-10-01",50
"2025-11-01",61
"2025-12-01",97
"2026-01-01",73
"2026-02-01",70
"2026-03-01",76
"2026-04-01",74
"2026-05-01",95
"2026-06-01",100
