"Time","blocked nose"
"2021-07-01",38
"2021-08-01",39
"2021-09-01",36
"2021-10-01",35
"2021-11-01",37
"2021-12-01",48
"2022-01-01",47
"2022-02-01",26
"2022-03-01",34
"2022-04-01",39
"2022-05-01",40
"2022-06-01",41
"2022-07-01",37
"2022-08-01",29
"2022-09-01",43
"2022-10-01",36
"2022-11-01",42
"2022-12-01",53
"2023-01-01",51
"2023-02-01",41
"2023-03-01",36
"2023-04-01",48
"2023-05-01",49
"2023-06-01",41
"2023-07-01",37
"2023-08-01",26
"2023-09-01",31
"2023-10-01",44
"2023-11-01",44
"2023-12-01",65
"2024-01-01",47
"2024-02-01",54
"2024-03-01",45
"2024-04-01",45
"2024-05-01",33
"2024-06-01",37
"2024-07-01",21
"2024-08-01",27
"2024-09-01",39
"2024-10-01",45
"2024-11-01",40
"2024-12-01",40
"2025-01-01",46
"2025-02-01",42
"2025-03-01",48
"2025-04-01",43
"2025-05-01",41
"2025-06-01",32
"2025-07-01",37
"2025-08-01",39
"2025-09-01",36
"2025-10-01",34
"2025-11-01",39
"2025-12-01",53
"2026-01-01",56
"2026-02-01",51
"2026-03-01",70
"2026-04-01",82
"2026-05-01",91
"2026-06-01",100
