"Time","runny nose"
"2021-07-01",60
"2021-08-01",62
"2021-09-01",71
"2021-10-01",83
"2021-11-01",83
"2021-12-01",94
"2022-01-01",77
"2022-02-01",62
"2022-03-01",76
"2022-04-01",80
"2022-05-01",74
"2022-06-01",56
"2022-07-01",51
"2022-08-01",46
"2022-09-01",73
"2022-10-01",74
"2022-11-01",78
"2022-12-01",93
"2023-01-01",68
"2023-02-01",72
"2023-03-01",65
"2023-04-01",58
"2023-05-01",61
"2023-06-01",41
"2023-07-01",34
"2023-08-01",44
"2023-09-01",59
"2023-10-01",59
"2023-11-01",65
"2023-12-01",77
"2024-01-01",65
"2024-02-01",75
"2024-03-01",62
"2024-04-01",59
"2024-05-01",50
"2024-06-01",40
"2024-07-01",39
"2024-08-01",43
"2024-09-01",65
"2024-10-01",63
"2024-11-01",56
"2024-12-01",75
"2025-01-01",83
"2025-02-01",75
"2025-03-01",65
"2025-04-01",63
"2025-05-01",54
"2025-06-01",43
"2025-07-01",39
"2025-08-01",44
"2025-09-01",68
"2025-10-01",60
"2025-11-01",70
"2025-12-01",100
"2026-01-01",85
"2026-02-01",88
"2026-03-01",80
"2026-04-01",70
"2026-05-01",80
"2026-06-01",62
