"Time","chest infection"
"2021-07-01",28
"2021-08-01",34
"2021-09-01",36
"2021-10-01",42
"2021-11-01",41
"2021-12-01",57
"2022-01-01",39
"2022-02-01",35
"2022-03-01",47
"2022-04-01",42
"2022-05-01",35
"2022-06-01",38
"2022-07-01",42
"2022-08-01",41
"2022-09-01",39
"2022-10-01",51
"2022-11-01",56
"2022-12-01",67
"2023-01-01",52
"2023-02-01",45
"2023-03-01",50
"2023-04-01",40
"2023-05-01",42
"2023-06-01",40
"2023-07-01",41
"2023-08-01",39
"2023-09-01",48
"2023-10-01",54
"2023-11-01",60
"2023-12-01",75
"2024-01-01",62
"2024-02-01",69
"2024-03-01",52
"2024-04-01",55
"2024-05-01",44
"2024-06-01",44
"2024-07-01",39
"2024-08-01",36
"2024-09-01",48
"2024-10-01",61
"2024-11-01",55
"2024-12-01",75
"2025-01-01",66
"2025-02-01",64
"2025-03-01",46
"2025-04-01",52
"2025-05-01",49
"2025-06-01",48
"2025-07-01",37
"2025-08-01",33
"2025-09-01",39
"2025-10-01",49
"2025-11-01",58
"2025-12-01",76
"2026-01-01",62
"2026-02-01",55
"2026-03-01",79
"2026-04-01",82
"2026-05-01",100
"2026-06-01",86
