"Time","wheezing"
"2021-07-01",44
"2021-08-01",47
"2021-09-01",52
"2021-10-01",64
"2021-11-01",64
"2021-12-01",69
"2022-01-01",77
"2022-02-01",69
"2022-03-01",69
"2022-04-01",69
"2022-05-01",75
"2022-06-01",64
"2022-07-01",51
"2022-08-01",52
"2022-09-01",61
"2022-10-01",80
"2022-11-01",84
"2022-12-01",90
"2023-01-01",75
"2023-02-01",82
"2023-03-01",75
"2023-04-01",77
"2023-05-01",72
"2023-06-01",56
"2023-07-01",49
"2023-08-01",53
"2023-09-01",56
"2023-10-01",76
"2023-11-01",86
"2023-12-01",93
"2024-01-01",75
"2024-02-01",81
"2024-03-01",72
"2024-04-01",70
"2024-05-01",75
"2024-06-01",55
"2024-07-01",49
"2024-08-01",54
"2024-09-01",63
"2024-10-01",82
"2024-11-01",75
"2024-12-01",90
"2025-01-01",83
"2025-02-01",82
"2025-03-01",71
"2025-04-01",75
"2025-05-01",76
"2025-06-01",64
"2025-07-01",51
"2025-08-01",55
"2025-09-01",64
"2025-10-01",69
"2025-11-01",75
"2025-12-01",100
"2026-01-01",76
"2026-02-01",87
"2026-03-01",96
"2026-04-01",95
"2026-05-01",100
"2026-06-01",80
