"Time","muscle aches"
"2021-07-01",37
"2021-08-01",48
"2021-09-01",50
"2021-10-01",42
"2021-11-01",47
"2021-12-01",72
"2022-01-01",78
"2022-02-01",45
"2022-03-01",51
"2022-04-01",54
"2022-05-01",64
"2022-06-01",54
"2022-07-01",61
"2022-08-01",53
"2022-09-01",48
"2022-10-01",56
"2022-11-01",51
"2022-12-01",56
"2023-01-01",54
"2023-02-01",49
"2023-03-01",45
"2023-04-01",45
"2023-05-01",49
"2023-06-01",34
"2023-07-01",46
"2023-08-01",42
"2023-09-01",50
"2023-10-01",52
"2023-11-01",46
"2023-12-01",47
"2024-01-01",53
"2024-02-01",56
"2024-03-01",45
"2024-04-01",52
"2024-05-01",45
"2024-06-01",45
"2024-07-01",51
"2024-08-01",50
"2024-09-01",50
"2024-10-01",51
"2024-11-01",48
"2024-12-01",52
"2025-01-01",44
"2025-02-01",65
"2025-03-01",60
"2025-04-01",52
"2025-05-01",46
"2025-06-01",44
"2025-07-01",51
"2025-08-01",53
"2025-09-01",54
"2025-10-01",47
"2025-11-01",44
"2025-12-01",54
"2026-01-01",60
"2026-02-01",58
"2026-03-01",66
"2026-04-01",100
"2026-05-01",89
"2026-06-01",100
