"Time","body aches"
"2021-07-01",43
"2021-08-01",50
"2021-09-01",50
"2021-10-01",45
"2021-11-01",55
"2021-12-01",100
"2022-01-01",90
"2022-02-01",51
"2022-03-01",53
"2022-04-01",63
"2022-05-01",63
"2022-06-01",59
"2022-07-01",58
"2022-08-01",57
"2022-09-01",53
"2022-10-01",54
"2022-11-01",74
"2022-12-01",85
"2023-01-01",64
"2023-02-01",58
"2023-03-01",54
"2023-04-01",53
"2023-05-01",57
"2023-06-01",52
"2023-07-01",48
"2023-08-01",54
"2023-09-01",55
"2023-10-01",51
"2023-11-01",53
"2023-12-01",87
"2024-01-01",74
"2024-02-01",75
"2024-03-01",57
"2024-04-01",63
"2024-05-01",57
"2024-06-01",51
"2024-07-01",54
"2024-08-01",55
"2024-09-01",59
"2024-10-01",55
"2024-11-01",57
"2024-12-01",70
"2025-01-01",94
"2025-02-01",83
"2025-03-01",66
"2025-04-01",62
"2025-05-01",55
"2025-06-01",46
"2025-07-01",46
"2025-08-01",53
"2025-09-01",54
"2025-10-01",46
"2025-11-01",60
"2025-12-01",94
"2026-01-01",68
"2026-02-01",58
"2026-03-01",74
"2026-04-01",63
"2026-05-01",61
"2026-06-01",61
