"Time","chest pain when breathing"
"2021-07-01",25
"2021-08-01",30
"2021-09-01",29
"2021-10-01",22
"2021-11-01",30
"2021-12-01",25
"2022-01-01",33
"2022-02-01",30
"2022-03-01",30
"2022-04-01",28
"2022-05-01",29
"2022-06-01",28
"2022-07-01",29
"2022-08-01",35
"2022-09-01",34
"2022-10-01",37
"2022-11-01",30
"2022-12-01",34
"2023-01-01",39
"2023-02-01",32
"2023-03-01",37
"2023-04-01",37
"2023-05-01",30
"2023-06-01",29
"2023-07-01",31
"2023-08-01",33
"2023-09-01",25
"2023-10-01",36
"2023-11-01",28
"2023-12-01",36
"2024-01-01",37
"2024-02-01",32
"2024-03-01",28
"2024-04-01",30
"2024-05-01",31
"2024-06-01",33
"2024-07-01",33
"2024-08-01",33
"2024-09-01",27
"2024-10-01",39
"2024-11-01",38
"2024-12-01",29
"2025-01-01",35
"2025-02-01",34
"2025-03-01",35
"2025-04-01",28
"2025-05-01",19
"2025-06-01",21
"2025-07-01",23
"2025-08-01",28
"2025-09-01",27
"2025-10-01",26
"2025-11-01",35
"2025-12-01",32
"2026-01-01",36
"2026-02-01",28
"2026-03-01",63
"2026-04-01",67
"2026-05-01",83
"2026-06-01",100
