"Time","tired all the time"
"2021-07-01",69
"2021-08-01",59
"2021-09-01",63
"2021-10-01",51
"2021-11-01",39
"2021-12-01",46
"2022-01-01",65
"2022-02-01",70
"2022-03-01",66
"2022-04-01",66
"2022-05-01",73
"2022-06-01",70
"2022-07-01",80
"2022-08-01",63
"2022-09-01",53
"2022-10-01",54
"2022-11-01",48
"2022-12-01",57
"2023-01-01",65
"2023-02-01",63
"2023-03-01",65
"2023-04-01",61
"2023-05-01",66
"2023-06-01",70
"2023-07-01",65
"2023-08-01",61
"2023-09-01",45
"2023-10-01",49
"2023-11-01",45
"2023-12-01",50
"2024-01-01",51
"2024-02-01",66
"2024-03-01",69
"2024-04-01",64
"2024-05-01",69
"2024-06-01",68
"2024-07-01",68
"2024-08-01",60
"2024-09-01",61
"2024-10-01",56
"2024-11-01",55
"2024-12-01",62
"2025-01-01",58
"2025-02-01",50
"2025-03-01",65
"2025-04-01",60
"2025-05-01",52
"2025-06-01",55
"2025-07-01",70
"2025-08-01",66
"2025-09-01",59
"2025-10-01",64
"2025-11-01",73
"2025-12-01",63
"2026-01-01",64
"2026-02-01",59
"2026-03-01",80
"2026-04-01",85
"2026-05-01",100
"2026-06-01",96
