"Time","chills"
"2021-07-01",42
"2021-08-01",49
"2021-09-01",51
"2021-10-01",49
"2021-11-01",56
"2021-12-01",100
"2022-01-01",81
"2022-02-01",56
"2022-03-01",61
"2022-04-01",66
"2022-05-01",64
"2022-06-01",52
"2022-07-01",50
"2022-08-01",50
"2022-09-01",49
"2022-10-01",53
"2022-11-01",58
"2022-12-01",81
"2023-01-01",65
"2023-02-01",64
"2023-03-01",62
"2023-04-01",52
"2023-05-01",51
"2023-06-01",50
"2023-07-01",41
"2023-08-01",44
"2023-09-01",49
"2023-10-01",44
"2023-11-01",48
"2023-12-01",68
"2024-01-01",61
"2024-02-01",69
"2024-03-01",61
"2024-04-01",58
"2024-05-01",49
"2024-06-01",41
"2024-07-01",45
"2024-08-01",47
"2024-09-01",50
"2024-10-01",54
"2024-11-01",52
"2024-12-01",68
"2025-01-01",81
"2025-02-01",85
"2025-03-01",63
"2025-04-01",56
"2025-05-01",52
"2025-06-01",42
"2025-07-01",45
"2025-08-01",47
"2025-09-01",45
"2025-10-01",50
"2025-11-01",58
"2025-12-01",83
"2026-01-01",66
"2026-02-01",61
"2026-03-01",68
"2026-04-01",60
"2026-05-01",64
"2026-06-01",57
