"Time","fatigue"
"2021-07-01",55
"2021-08-01",55
"2021-09-01",59
"2021-10-01",59
"2021-11-01",54
"2021-12-01",56
"2022-01-01",58
"2022-02-01",53
"2022-03-01",54
"2022-04-01",48
"2022-05-01",47
"2022-06-01",52
"2022-07-01",54
"2022-08-01",49
"2022-09-01",49
"2022-10-01",51
"2022-11-01",50
"2022-12-01",48
"2023-01-01",50
"2023-02-01",50
"2023-03-01",45
"2023-04-01",44
"2023-05-01",44
"2023-06-01",41
"2023-07-01",42
"2023-08-01",43
"2023-09-01",39
"2023-10-01",41
"2023-11-01",41
"2023-12-01",42
"2024-01-01",42
"2024-02-01",44
"2024-03-01",45
"2024-04-01",45
"2024-05-01",43
"2024-06-01",41
"2024-07-01",43
"2024-08-01",44
"2024-09-01",42
"2024-10-01",47
"2024-11-01",40
"2024-12-01",39
"2025-01-01",42
"2025-02-01",46
"2025-03-01",46
"2025-04-01",45
"2025-05-01",47
"2025-06-01",46
"2025-07-01",54
"2025-08-01",51
"2025-09-01",49
"2025-10-01",47
"2025-11-01",56
"2025-12-01",56
"2026-01-01",62
"2026-02-01",67
"2026-03-01",98
"2026-04-01",93
"2026-05-01",97
"2026-06-01",100
