"Time","coughing up phlegm"
"2021-07-01",48
"2021-08-01",36
"2021-09-01",49
"2021-10-01",38
"2021-11-01",54
"2021-12-01",60
"2022-01-01",62
"2022-02-01",40
"2022-03-01",41
"2022-04-01",57
"2022-05-01",53
"2022-06-01",61
"2022-07-01",44
"2022-08-01",36
"2022-09-01",37
"2022-10-01",63
"2022-11-01",83
"2022-12-01",94
"2023-01-01",70
"2023-02-01",54
"2023-03-01",66
"2023-04-01",45
"2023-05-01",53
"2023-06-01",49
"2023-07-01",45
"2023-08-01",34
"2023-09-01",49
"2023-10-01",69
"2023-11-01",84
"2023-12-01",91
"2024-01-01",74
"2024-02-01",81
"2024-03-01",67
"2024-04-01",62
"2024-05-01",57
"2024-06-01",56
"2024-07-01",47
"2024-08-01",37
"2024-09-01",50
"2024-10-01",77
"2024-11-01",66
"2024-12-01",89
"2025-01-01",100
"2025-02-01",78
"2025-03-01",66
"2025-04-01",43
"2025-05-01",55
"2025-06-01",35
"2025-07-01",37
"2025-08-01",34
"2025-09-01",43
"2025-10-01",57
"2025-11-01",66
"2025-12-01",100
"2026-01-01",74
"2026-02-01",47
"2026-03-01",54
"2026-04-01",69
"2026-05-01",55
"2026-06-01",54
