"Time","mucus cough"
"2021-07-01",42
"2021-08-01",40
"2021-09-01",48
"2021-10-01",57
"2021-11-01",51
"2021-12-01",82
"2022-01-01",64
"2022-02-01",36
"2022-03-01",54
"2022-04-01",66
"2022-05-01",66
"2022-06-01",65
"2022-07-01",52
"2022-08-01",44
"2022-09-01",51
"2022-10-01",79
"2022-11-01",89
"2022-12-01",92
"2023-01-01",67
"2023-02-01",66
"2023-03-01",62
"2023-04-01",61
"2023-05-01",61
"2023-06-01",43
"2023-07-01",37
"2023-08-01",38
"2023-09-01",52
"2023-10-01",71
"2023-11-01",80
"2023-12-01",94
"2024-01-01",75
"2024-02-01",61
"2024-03-01",63
"2024-04-01",60
"2024-05-01",58
"2024-06-01",44
"2024-07-01",39
"2024-08-01",39
"2024-09-01",50
"2024-10-01",67
"2024-11-01",73
"2024-12-01",90
"2025-01-01",88
"2025-02-01",73
"2025-03-01",56
"2025-04-01",56
"2025-05-01",48
"2025-06-01",48
"2025-07-01",40
"2025-08-01",27
"2025-09-01",46
"2025-10-01",50
"2025-11-01",73
"2025-12-01",100
"2026-01-01",74
"2026-02-01",62
"2026-03-01",75
"2026-04-01",73
"2026-05-01",82
"2026-06-01",69
