date,dry cough,isPartial
2017-12-31,84,False
2018-01-07,91,False
2018-01-14,93,False
2018-01-21,100,False
2018-01-28,90,False
2018-02-04,98,False
2018-02-11,84,False
2018-02-18,76,False
2018-02-25,61,False
2018-03-04,61,False
2018-03-11,44,False
2018-03-18,56,False
2018-03-25,61,False
2018-04-01,51,False
2018-04-08,51,False
2018-04-15,45,False
2018-04-22,42,False
2018-04-29,51,False
2018-05-06,57,False
2018-05-13,55,False
2018-05-20,53,False
2018-05-27,73,False
2018-06-03,53,False
2018-06-10,57,False
2018-06-17,48,False
2018-06-24,48,False
2018-07-01,47,False
2018-07-08,40,False
2018-07-15,39,False
2018-07-22,39,False
2018-07-29,33,False
2018-08-05,51,False
2018-08-12,47,False
2018-08-19,38,False
2018-08-26,41,False
2018-09-02,49,False
2018-09-09,47,False
2018-09-16,41,False
2018-09-23,58,False
2018-09-30,63,False
2018-10-07,64,False
2018-10-14,53,False
2018-10-21,51,False
2018-10-28,73,False
2018-11-04,70,False
2018-11-11,60,False
2018-11-18,77,False
2018-11-25,65,False
2018-12-02,70,False
2018-12-09,61,False
2018-12-16,76,False
2018-12-23,91,False
2018-12-30,82,False
2019-01-06,71,False
2019-01-13,57,False
2019-01-20,46,False
2019-01-27,56,False
2019-02-03,55,False
2019-02-10,56,False
2019-02-17,57,False
2019-02-24,42,False
2019-03-03,55,False
2019-03-10,43,False
2019-03-17,48,False
2019-03-24,42,False
2019-03-31,47,False
2019-04-07,44,False
2019-04-14,44,False
2019-04-21,46,False
2019-04-28,38,False
2019-05-05,43,False
2019-05-12,42,False
2019-05-19,44,False
2019-05-26,53,False
2019-06-02,44,False
2019-06-09,44,False
2019-06-16,33,False
2019-06-23,33,False
2019-06-30,47,False
2019-07-07,35,False
2019-07-14,36,False
2019-07-21,32,False
2019-07-28,33,False
2019-08-04,32,False
2019-08-11,34,False
2019-08-18,30,False
2019-08-25,35,False
2019-09-01,26,False
2019-09-08,35,False
2019-09-15,46,False
2019-09-22,38,False
2019-09-29,48,False
2019-10-06,43,False
2019-10-13,37,False
2019-10-20,45,False
2019-10-27,50,False
2019-11-03,42,False
2019-11-10,54,False
2019-11-17,57,False
2019-11-24,59,False
2019-12-01,56,False
2019-12-08,62,False
2019-12-15,69,False
2019-12-22,85,False
2019-12-29,100,False
2020-01-05,16,False
2020-01-12,17,False
2020-01-19,15,False
2020-01-26,16,False
2020-02-02,16,False
2020-02-09,16,False
2020-02-16,15,False
2020-02-23,14,False
2020-03-01,21,False
2020-03-08,59,False
2020-03-15,100,False
2020-03-22,78,False
2020-03-29,56,False
2020-04-05,39,False
2020-04-12,26,False
2020-04-19,19,False
2020-04-26,15,False
2020-05-03,13,False
2020-05-10,11,False
2020-05-17,10,False
2020-05-24,8,False
2020-05-31,7,False
2020-06-07,8,False
2020-06-14,8,False
2020-06-21,8,False
2020-06-28,8,False
2020-07-05,10,False
2020-07-12,9,False
2020-07-19,10,False
2020-07-26,10,False
2020-08-02,8,False
2020-08-09,10,False
2020-08-16,11,False
2020-08-23,9,False
2020-08-30,7,False
2020-09-06,10,False
2020-09-13,7,False
2020-09-20,8,False
2020-09-27,8,False
2020-10-04,11,False
2020-10-11,8,False
2020-10-18,10,False
2020-10-25,10,False
2020-11-01,7,False
2020-11-08,11,False
2020-11-15,11,False
2020-11-22,12,False
2020-11-29,12,False
2020-12-06,11,False
2020-12-13,11,False
2020-12-20,12,False
2020-12-27,12,False
2021-01-03,41,False
2021-01-10,35,False
2021-01-17,37,False
2021-01-24,29,False
2021-01-31,27,False
2021-02-07,27,False
2021-02-14,23,False
2021-02-21,25,False
2021-02-28,22,False
2021-03-07,28,False
2021-03-14,26,False
2021-03-21,28,False
2021-03-28,28,False
2021-04-04,29,False
2021-04-11,28,False
2021-04-18,28,False
2021-04-25,23,False
2021-05-02,27,False
2021-05-09,25,False
2021-05-16,35,False
2021-05-23,32,False
2021-05-30,24,False
2021-06-06,28,False
2021-06-13,33,False
2021-06-20,35,False
2021-06-27,31,False
2021-07-04,36,False
2021-07-11,42,False
2021-07-18,46,False
2021-07-25,39,False
2021-08-01,43,False
2021-08-08,47,False
2021-08-15,49,False
2021-08-22,45,False
2021-08-29,34,False
2021-09-05,38,False
2021-09-12,40,False
2021-09-19,39,False
2021-09-26,42,False
2021-10-03,44,False
2021-10-10,59,False
2021-10-17,41,False
2021-10-24,43,False
2021-10-31,38,False
2021-11-07,53,False
2021-11-14,50,False
2021-11-21,56,False
2021-11-28,49,False
2021-12-05,63,False
2021-12-12,74,False
2021-12-19,88,False
2021-12-26,100,False
2022-01-02,99,False
2022-01-09,80,False
2022-01-16,52,False
2022-01-23,36,False
2022-01-30,30,False
2022-02-06,30,False
2022-02-13,28,False
2022-02-20,28,False
2022-02-27,29,False
2022-03-06,31,False
2022-03-13,33,False
2022-03-20,41,False
2022-03-27,42,False
2022-04-03,48,False
2022-04-10,64,False
2022-04-17,59,False
2022-04-24,53,False
2022-05-01,52,False
2022-05-08,60,False
2022-05-15,58,False
2022-05-22,59,False
2022-05-29,59,False
2022-06-05,50,False
2022-06-12,51,False
2022-06-19,47,False
2022-06-26,47,False
2022-07-03,43,False
2022-07-10,49,False
2022-07-17,43,False
2022-07-24,40,False
2022-07-31,40,False
2022-08-07,32,False
2022-08-14,34,False
2022-08-21,32,False
2022-08-28,31,False
2022-09-04,32,False
2022-09-11,35,False
2022-09-18,43,False
2022-09-25,43,False
2022-10-02,46,False
2022-10-09,53,False
2022-10-16,48,False
2022-10-23,62,False
2022-10-30,59,False
2022-11-06,71,False
2022-11-13,62,False
2022-11-20,70,False
2022-11-27,76,False
2022-12-04,79,False
2022-12-11,67,False
2022-12-18,84,False
2022-12-25,76,False
2023-01-01,82,False
2023-01-08,60,False
2023-01-15,63,False
2023-01-22,61,False
2023-01-29,52,False
2023-02-05,50,False
2023-02-12,53,False
2023-02-19,52,False
2023-02-26,50,False
2023-03-05,55,False
2023-03-12,47,False
2023-03-19,65,False
2023-03-26,53,False
2023-04-02,50,False
2023-04-09,53,False
2023-04-16,45,False
2023-04-23,53,False
2023-04-30,51,False
2023-05-07,63,False
2023-05-14,55,False
2023-05-21,53,False
2023-05-28,58,False
2023-06-04,42,False
2023-06-11,44,False
2023-06-18,43,False
2023-06-25,48,False
2023-07-02,48,False
2023-07-09,33,False
2023-07-16,40,False
2023-07-23,35,False
2023-07-30,38,False
2023-08-06,36,False
2023-08-13,42,False
2023-08-20,50,False
2023-08-27,42,False
2023-09-03,46,False
2023-09-10,42,False
2023-09-17,47,False
2023-09-24,65,False
2023-10-01,64,False
2023-10-08,63,False
2023-10-15,61,False
2023-10-22,60,False
2023-10-29,54,False
2023-11-05,67,False
2023-11-12,71,False
2023-11-19,75,False
2023-11-26,76,False
2023-12-03,74,False
2023-12-10,92,False
2023-12-17,94,False
2023-12-24,100,False
2023-12-31,80,False
2024-01-07,76,False
2024-01-14,67,False
2024-01-21,60,False
2024-01-28,66,False
2024-02-04,66,False
2024-02-11,62,False
2024-02-18,55,False
2024-02-25,59,False
2024-03-03,64,False
2024-03-10,47,False
2024-03-17,47,False
2024-03-24,51,False
2024-03-31,48,False
2024-04-07,60,False
2024-04-14,48,False
2024-04-21,47,False
2024-04-28,50,False
2024-05-05,53,False
2024-05-12,50,False
2024-05-19,58,False
2024-05-26,48,False
2024-06-02,47,False
2024-06-09,35,False
2024-06-16,48,False
2024-06-23,45,False
2024-06-30,40,False
2024-07-07,40,False
2024-07-14,39,False
2024-07-21,43,False
2024-07-28,35,False
2024-08-04,33,False
2024-08-11,40,False
2024-08-18,35,False
2024-08-25,39,False
2024-09-01,44,False
2024-09-08,42,False
2024-09-15,52,False
2024-09-22,53,False
2024-09-29,51,False
2024-10-06,51,False
2024-10-13,56,False
2024-10-20,62,False
2024-10-27,60,False
2024-11-03,56,False
2024-11-10,69,False
2024-11-17,65,False
2024-11-24,65,False
2024-12-01,60,False
2024-12-08,66,False
2024-12-15,73,False
2024-12-22,100,False
2024-12-29,86,False
2025-01-05,76,False
2025-01-12,70,False
2025-01-19,73,False
2025-01-26,68,False
2025-02-02,65,False
2025-02-09,57,False
2025-02-16,66,False
2025-02-23,58,False
2025-03-02,44,False
2025-03-09,49,False
2025-03-16,40,False
2025-03-23,52,False
2025-03-30,46,False
2025-04-06,44,False
2025-04-13,44,False
2025-04-20,45,False
2025-04-27,38,False
2025-05-04,36,False
2025-05-11,42,False
2025-05-18,40,False
2025-05-25,39,False
2025-06-01,41,False
2025-06-08,45,False
2025-06-15,38,False
2025-06-22,43,False
2025-06-29,36,False
2025-07-06,33,False
2025-07-13,32,False
2025-07-20,35,False
2025-07-27,36,False
2025-08-03,31,False
2025-08-10,30,False
2025-08-17,32,False
2025-08-24,32,False
2025-08-31,32,False
2025-09-07,34,False
2025-09-14,38,False
2025-09-21,44,False
2025-09-28,44,False
2025-10-05,42,False
2025-10-12,38,False
2025-10-19,42,False
2025-10-26,38,False
2025-11-02,50,False
2025-11-09,58,False
2025-11-16,50,False
2025-11-23,56,False
2025-11-30,64,False
2025-12-07,74,False
2025-12-14,76,False
2025-12-21,100,False
2025-12-28,99,False
