PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS,,,,,,,,,,,,,,
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,New York,2018,40,X,0.964964,X,X,X,X,X,X,623,131,64562
States,New York,2018,41,X,0.98214,X,X,X,X,X,X,661,133,67302
States,New York,2018,42,X,1.1082,X,X,X,X,X,X,706,134,63707
States,New York,2018,43,X,1.13962,X,X,X,X,X,X,700,133,61424
States,New York,2018,44,X,1.26942,X,X,X,X,X,X,781,134,61524
States,New York,2018,45,X,1.09622,X,X,X,X,X,X,710,135,64768
States,New York,2018,46,X,1.10866,X,X,X,X,X,X,632,134,57006
States,New York,2018,47,X,1.34015,X,X,X,X,X,X,742,136,55367
States,New York,2018,48,X,1.31799,X,X,X,X,X,X,828,136,62823
States,New York,2018,49,X,1.46959,X,X,X,X,X,X,892,134,60697
States,New York,2018,50,X,1.95702,X,X,X,X,X,X,1172,133,59887
States,New York,2018,51,X,2.42423,X,X,X,X,X,X,1427,133,58864
States,New York,2018,52,X,3.02311,X,X,X,X,X,X,1757,134,58119
States,New York,2019,1,X,2.7959,X,X,X,X,X,X,1727,135,61769
States,New York,2019,2,X,2.53648,X,X,X,X,X,X,1514,132,59689
States,New York,2019,3,X,3.0807,X,X,X,X,X,X,1808,134,58688
States,New York,2019,4,X,3.47274,X,X,X,X,X,X,2085,136,60039
States,New York,2019,5,X,3.43565,X,X,X,X,X,X,2158,136,62812
States,New York,2019,6,X,3.87097,X,X,X,X,X,X,2676,135,69130
States,New York,2019,7,X,4.53822,X,X,X,X,X,X,3024,134,66634
States,New York,2019,8,X,4.04967,X,X,X,X,X,X,2335,135,57659
States,New York,2019,9,X,3.24017,X,X,X,X,X,X,1979,134,61077
States,New York,2019,10,X,3.19059,X,X,X,X,X,X,2034,134,63750
States,New York,2019,11,X,3.2431,X,X,X,X,X,X,2105,138,64907
States,New York,2019,12,X,3.26153,X,X,X,X,X,X,2038,137,62486
States,New York,2019,13,X,2.74534,X,X,X,X,X,X,1723,135,62761
States,New York,2019,14,X,2.74644,X,X,X,X,X,X,1699,136,61862
States,New York,2019,15,X,2.08497,X,X,X,X,X,X,1301,136,62399
States,New York,2019,16,X,1.77157,X,X,X,X,X,X,1020,133,57576
States,New York,2019,17,X,1.26076,X,X,X,X,X,X,753,136,59726
States,New York,2019,18,X,1.15328,X,X,X,X,X,X,656,133,56881
States,New York,2019,19,X,0.897742,X,X,X,X,X,X,512,130,57032
States,New York,2019,20,X,0.812505,X,X,X,X,X,X,315,121,38769
States,New York,2019,21,X,0.898427,X,X,X,X,X,X,517,129,57545
States,New York,2019,22,X,0.918154,X,X,X,X,X,X,513,129,55873
States,New York,2019,23,X,0.789753,X,X,X,X,X,X,447,125,56600
States,New York,2019,24,X,0.668978,X,X,X,X,X,X,384,123,57401
States,New York,2019,25,X,0.729279,X,X,X,X,X,X,411,123,56357
States,New York,2019,26,X,0.692452,X,X,X,X,X,X,420,124,60654
States,New York,2019,27,X,0.677309,X,X,X,X,X,X,395,124,58319
States,New York,2019,28,X,0.606159,X,X,X,X,X,X,374,124,61700
States,New York,2019,29,X,0.496888,X,X,X,X,X,X,297,123,59772
States,New York,2019,30,X,0.510265,X,X,X,X,X,X,298,124,58401
States,New York,2019,31,X,0.496411,X,X,X,X,X,X,296,124,59628
States,New York,2019,32,X,0.582389,X,X,X,X,X,X,317,124,54431
States,New York,2019,33,X,0.487924,X,X,X,X,X,X,279,124,57181
States,New York,2019,34,X,0.492445,X,X,X,X,X,X,278,124,56453
States,New York,2019,35,X,0.51099,X,X,X,X,X,X,282,124,55187
States,New York,2019,36,X,0.53943,X,X,X,X,X,X,302,125,55985
States,New York,2019,37,X,0.717335,X,X,X,X,X,X,415,124,57853
States,New York,2019,38,X,0.853393,X,X,X,X,X,X,502,125,58824
States,New York,2019,39,X,0.952203,X,X,X,X,X,X,561,124,58916
States,New York,2019,40,X,0.883474,X,X,X,X,X,X,517,130,58519
States,New York,2019,41,X,1.00583,X,X,X,X,X,X,587,135,58360
States,New York,2019,42,X,1.09797,X,X,X,X,X,X,622,136,56650
States,New York,2019,43,X,1.03963,X,X,X,X,X,X,626,138,60214
States,New York,2019,44,X,1.23284,X,X,X,X,X,X,712,138,57753
States,New York,2019,45,X,1.29974,X,X,X,X,X,X,734,137,56473
States,New York,2019,46,X,1.37191,X,X,X,X,X,X,763,136,55616
States,New York,2019,47,X,1.44615,X,X,X,X,X,X,826,135,57117
States,New York,2019,48,X,1.95974,X,X,X,X,X,X,991,133,50568
States,New York,2019,49,X,1.94126,X,X,X,X,X,X,1002,133,51616
States,New York,2019,50,X,2.28183,X,X,X,X,X,X,1328,136,58199
States,New York,2019,51,X,3.35442,X,X,X,X,X,X,1898,135,56582
States,New York,2019,52,X,5.17193,X,X,X,X,X,X,2939,135,56826
States,New York,2020,1,X,5.23796,X,X,X,X,X,X,2976,131,56816
States,New York,2020,2,X,3.89487,X,X,X,X,X,X,1891,131,48551
States,New York,2020,3,X,4.98993,X,X,X,X,X,X,2824,135,56594
States,New York,2020,4,X,6.29803,X,X,X,X,X,X,3688,134,58558
States,New York,2020,5,X,6.96812,X,X,X,X,X,X,4361,134,62585
States,New York,2020,6,X,7.51562,X,X,X,X,X,X,4535,135,60341
States,New York,2020,7,X,6.25291,X,X,X,X,X,X,3631,134,58069
States,New York,2020,8,X,4.85567,X,X,X,X,X,X,2577,133,53072
States,New York,2020,9,X,3.78471,X,X,X,X,X,X,1926,131,50889
States,New York,2020,10,X,3.69374,X,X,X,X,X,X,1813,133,49083
States,New York,2020,11,X,6.12276,X,X,X,X,X,X,3200,130,52264
States,New York,2020,12,X,7.90347,X,X,X,X,X,X,3288,131,41602
States,New York,2020,13,X,7.98081,X,X,X,X,X,X,2894,130,36262
States,New York,2020,14,X,7.09741,X,X,X,X,X,X,2365,130,33322
States,New York,2020,15,X,4.76863,X,X,X,X,X,X,1452,129,30449
States,New York,2020,16,X,3.30446,X,X,X,X,X,X,946,130,28628
States,New York,2020,17,X,2.00144,X,X,X,X,X,X,583,129,29129
States,New York,2020,18,X,1.27955,X,X,X,X,X,X,393,130,30714
States,New York,2020,19,X,0.96626,X,X,X,X,X,X,305,127,31565
States,New York,2020,20,X,0.775521,X,X,X,X,X,X,257,126,33139
States,New York,2020,21,X,0.683416,X,X,X,X,X,X,244,127,35703
States,New York,2020,22,X,0.481247,X,X,X,X,X,X,189,127,39273
States,New York,2020,23,X,0.428651,X,X,X,X,X,X,162,124,37793
States,New York,2020,24,X,0.400707,X,X,X,X,X,X,161,126,40179
States,New York,2020,25,X,0.458804,X,X,X,X,X,X,190,126,41412
States,New York,2020,26,X,0.360199,X,X,X,X,X,X,165,125,45808
States,New York,2020,27,X,0.424689,X,X,X,X,X,X,193,122,45445
States,New York,2020,28,X,0.465711,X,X,X,X,X,X,222,123,47669
States,New York,2020,29,X,0.509557,X,X,X,X,X,X,233,123,45726
States,New York,2020,30,X,0.523225,X,X,X,X,X,X,237,123,45296
