"End Date of MMWR Week",COVID-19,"Age Group",Influenza,RSV,Combined
2022-09-03,71917,"All Ages",3549,4800,80266
2022-09-03,4751,"00-01 Years",277,2709,7737
2022-09-03,2175,"02-04 Years",478,1297,3950
2022-09-03,3921,"05-11 Years",770,391,5082
2022-09-03,4436,"12-17 Years",397,35,4868
2022-09-03,35957,"18-64 Years",1279,231,37467
2022-09-03,20677,"65+ Years",348,137,21162
2022-09-10,63344,"All Ages",4119,6067,73530
2022-09-10,4146,"00-01 Years",357,3412,7915
2022-09-10,1725,"02-04 Years",587,1638,3950
2022-09-10,2628,"05-11 Years",892,548,4068
2022-09-10,3119,"12-17 Years",448,46,3613
2022-09-10,31969,"18-64 Years",1472,271,33712
2022-09-10,19757,"65+ Years",363,152,20272
2022-09-17,52770,"All Ages",4817,7537,65124
2022-09-17,3188,"00-01 Years",379,4138,7705
2022-09-17,1396,"02-04 Years",707,2059,4162
2022-09-17,2128,"05-11 Years",1193,728,4049
2022-09-17,2288,"12-17 Years",616,58,2962
2022-09-17,26469,"18-64 Years",1545,358,28372
2022-09-17,17301,"65+ Years",377,196,17874
2022-09-24,45765,"All Ages",7084,9955,62804
2022-09-24,2669,"00-01 Years",563,5368,8600
2022-09-24,1060,"02-04 Years",997,2815,4872
2022-09-24,1534,"05-11 Years",2031,1048,4613
2022-09-24,1793,"12-17 Years",1081,62,2936
2022-09-24,22456,"18-64 Years",1939,434,24829
2022-09-24,16253,"65+ Years",473,228,16954
2022-10-01,40418,"All Ages",9958,12137,62513
2022-10-01,2257,"00-01 Years",730,6554,9541
2022-10-01,911,"02-04 Years",1359,3372,5642
2022-10-01,1127,"05-11 Years",2892,1338,5357
2022-10-01,1239,"12-17 Years",1629,77,2945
2022-10-01,19471,"18-64 Years",2760,536,22767
2022-10-01,15413,"65+ Years",588,260,16261
2022-10-08,37342,"All Ages",14414,13373,65129
2022-10-08,1984,"00-01 Years",1029,7669,10682
2022-10-08,768,"02-04 Years",1907,3516,6191
2022-10-08,902,"05-11 Years",4159,1272,6333
2022-10-08,1026,"12-17 Years",2243,70,3339
2022-10-08,17725,"18-64 Years",4254,511,22490
