"Time","persistent cough"
"2021-07-01",42
"2021-08-01",41
"2021-09-01",51
"2021-10-01",64
"2021-11-01",56
"2021-12-01",62
"2022-01-01",48
"2022-02-01",44
"2022-03-01",45
"2022-04-01",51
"2022-05-01",40
"2022-06-01",43
"2022-07-01",45
"2022-08-01",36
"2022-09-01",36
"2022-10-01",49
"2022-11-01",57
"2022-12-01",100
"2023-01-01",67
"2023-02-01",55
"2023-03-01",53
"2023-04-01",49
"2023-05-01",43
"2023-06-01",39
"2023-07-01",35
"2023-08-01",35
"2023-09-01",32
"2023-10-01",41
"2023-11-01",48
"2023-12-01",69
"2024-01-01",64
"2024-02-01",58
"2024-03-01",59
"2024-04-01",55
"2024-05-01",47
"2024-06-01",39
"2024-07-01",34
"2024-08-01",27
"2024-09-01",25
"2024-10-01",35
"2024-11-01",38
"2024-12-01",46
"2025-01-01",44
"2025-02-01",41
"2025-03-01",39
"2025-04-01",40
"2025-05-01",34
"2025-06-01",27
"2025-07-01",20
"2025-08-01",23
"2025-09-01",24
"2025-10-01",34
"2025-11-01",38
"2025-12-01",55
"2026-01-01",46
"2026-02-01",38
"2026-03-01",43
"2026-04-01",43
"2026-05-01",38
"2026-06-01",29
