"Time","chesty cough"
"2021-07-01",27
"2021-08-01",27
"2021-09-01",42
"2021-10-01",48
"2021-11-01",45
"2021-12-01",43
"2022-01-01",25
"2022-02-01",21
"2022-03-01",28
"2022-04-01",26
"2022-05-01",25
"2022-06-01",28
"2022-07-01",24
"2022-08-01",18
"2022-09-01",24
"2022-10-01",40
"2022-11-01",41
"2022-12-01",100
"2023-01-01",43
"2023-02-01",34
"2023-03-01",33
"2023-04-01",26
"2023-05-01",23
"2023-06-01",22
"2023-07-01",18
"2023-08-01",19
"2023-09-01",19
"2023-10-01",31
"2023-11-01",40
"2023-12-01",50
"2024-01-01",39
"2024-02-01",38
"2024-03-01",39
"2024-04-01",31
"2024-05-01",27
"2024-06-01",22
"2024-07-01",20
"2024-08-01",14
"2024-09-01",20
"2024-10-01",31
"2024-11-01",37
"2024-12-01",56
"2025-01-01",37
"2025-02-01",33
"2025-03-01",30
"2025-04-01",26
"2025-05-01",18
"2025-06-01",16
"2025-07-01",14
"2025-08-01",11
"2025-09-01",18
"2025-10-01",30
"2025-11-01",37
"2025-12-01",56
"2026-01-01",36
"2026-02-01",28
"2026-03-01",28
"2026-04-01",25
"2026-05-01",23
"2026-06-01",17
