"Time","shortness of breath"
"2021-07-01",82
"2021-08-01",83
"2021-09-01",79
"2021-10-01",76
"2021-11-01",75
"2021-12-01",84
"2022-01-01",84
"2022-02-01",72
"2022-03-01",74
"2022-04-01",76
"2022-05-01",66
"2022-06-01",66
"2022-07-01",62
"2022-08-01",61
"2022-09-01",66
"2022-10-01",70
"2022-11-01",67
"2022-12-01",68
"2023-01-01",73
"2023-02-01",65
"2023-03-01",74
"2023-04-01",68
"2023-05-01",68
"2023-06-01",74
"2023-07-01",65
"2023-08-01",68
"2023-09-01",68
"2023-10-01",67
"2023-11-01",69
"2023-12-01",70
"2024-01-01",74
"2024-02-01",72
"2024-03-01",73
"2024-04-01",68
"2024-05-01",69
"2024-06-01",63
"2024-07-01",60
"2024-08-01",57
"2024-09-01",65
"2024-10-01",68
"2024-11-01",63
"2024-12-01",71
"2025-01-01",69
"2025-02-01",68
"2025-03-01",71
"2025-04-01",67
"2025-05-01",61
"2025-06-01",64
"2025-07-01",60
"2025-08-01",58
"2025-09-01",67
"2025-10-01",70
"2025-11-01",65
"2025-12-01",77
"2026-01-01",72
"2026-02-01",71
"2026-03-01",100
"2026-04-01",88
"2026-05-01",74
"2026-06-01",69
