"Time","body aches"
"2021-07-01",62
"2021-08-01",66
"2021-09-01",62
"2021-10-01",60
"2021-11-01",58
"2021-12-01",83
"2022-01-01",72
"2022-02-01",59
"2022-03-01",75
"2022-04-01",64
"2022-05-01",57
"2022-06-01",64
"2022-07-01",65
"2022-08-01",54
"2022-09-01",57
"2022-10-01",64
"2022-11-01",63
"2022-12-01",100
"2023-01-01",62
"2023-02-01",72
"2023-03-01",70
"2023-04-01",65
"2023-05-01",63
"2023-06-01",51
"2023-07-01",53
"2023-08-01",53
"2023-09-01",56
"2023-10-01",54
"2023-11-01",51
"2023-12-01",75
"2024-01-01",68
"2024-02-01",65
"2024-03-01",71
"2024-04-01",68
"2024-05-01",61
"2024-06-01",61
"2024-07-01",59
"2024-08-01",52
"2024-09-01",55
"2024-10-01",58
"2024-11-01",55
"2024-12-01",79
"2025-01-01",70
"2025-02-01",78
"2025-03-01",65
"2025-04-01",63
"2025-05-01",54
"2025-06-01",53
"2025-07-01",51
"2025-08-01",54
"2025-09-01",53
"2025-10-01",56
"2025-11-01",58
"2025-12-01",71
"2026-01-01",57
"2026-02-01",56
"2026-03-01",71
"2026-04-01",62
"2026-05-01",51
"2026-06-01",51
