"Time","shivering"
"2021-07-01",40
"2021-08-01",48
"2021-09-01",44
"2021-10-01",55
"2021-11-01",57
"2021-12-01",70
"2022-01-01",67
"2022-02-01",56
"2022-03-01",66
"2022-04-01",58
"2022-05-01",45
"2022-06-01",51
"2022-07-01",52
"2022-08-01",36
"2022-09-01",56
"2022-10-01",52
"2022-11-01",62
"2022-12-01",100
"2023-01-01",63
"2023-02-01",64
"2023-03-01",64
"2023-04-01",61
"2023-05-01",54
"2023-06-01",40
"2023-07-01",38
"2023-08-01",41
"2023-09-01",42
"2023-10-01",50
"2023-11-01",56
"2023-12-01",61
"2024-01-01",67
"2024-02-01",57
"2024-03-01",59
"2024-04-01",55
"2024-05-01",45
"2024-06-01",48
"2024-07-01",41
"2024-08-01",39
"2024-09-01",44
"2024-10-01",52
"2024-11-01",56
"2024-12-01",71
"2025-01-01",62
"2025-02-01",64
"2025-03-01",59
"2025-04-01",69
"2025-05-01",80
"2025-06-01",44
"2025-07-01",37
"2025-08-01",37
"2025-09-01",47
"2025-10-01",49
"2025-11-01",54
"2025-12-01",64
"2026-01-01",58
"2026-02-01",54
"2026-03-01",60
"2026-04-01",54
"2026-05-01",46
"2026-06-01",37
