"Time","tired all the time"
"2021-07-01",93
"2021-08-01",93
"2021-09-01",83
"2021-10-01",73
"2021-11-01",60
"2021-12-01",56
"2022-01-01",70
"2022-02-01",70
"2022-03-01",76
"2022-04-01",79
"2022-05-01",90
"2022-06-01",94
"2022-07-01",82
"2022-08-01",88
"2022-09-01",76
"2022-10-01",73
"2022-11-01",66
"2022-12-01",52
"2023-01-01",73
"2023-02-01",80
"2023-03-01",88
"2023-04-01",84
"2023-05-01",90
"2023-06-01",89
"2023-07-01",100
"2023-08-01",83
"2023-09-01",66
"2023-10-01",61
"2023-11-01",55
"2023-12-01",53
"2024-01-01",66
"2024-02-01",73
"2024-03-01",73
"2024-04-01",78
"2024-05-01",75
"2024-06-01",86
"2024-07-01",81
"2024-08-01",69
"2024-09-01",66
"2024-10-01",67
"2024-11-01",53
"2024-12-01",56
"2025-01-01",61
"2025-02-01",66
"2025-03-01",69
"2025-04-01",67
"2025-05-01",65
"2025-06-01",78
"2025-07-01",84
"2025-08-01",73
"2025-09-01",60
"2025-10-01",61
"2025-11-01",57
"2025-12-01",50
"2026-01-01",62
"2026-02-01",67
"2026-03-01",81
"2026-04-01",71
"2026-05-01",84
"2026-06-01",80
