Season,ISOyear,WeekBeginning,WeekEnding,WastewaterTreatmentWork,Average(Mgc),Average(Mgc)QF,PercentCoverage
2019/20,2020,20200530,20200605,Meadowhead,NA,:,0
2019/20,2020,20200530,20200605,Galashiels,0,,100
2019/20,2020,20200530,20200605,Hawick,NA,:,0
2019/20,2020,20200530,20200605,Peebles,NA,:,0
2019/20,2020,20200530,20200605,Annan,NA,:,0
2019/20,2020,20200530,20200605,Dalbeattie,NA,:,0
2019/20,2020,20200530,20200605,Dalscone,NA,:,0
2019/20,2020,20200530,20200605,Lockerbie,NA,:,0
2019/20,2020,20200530,20200605,Troqueer,0,,100
2019/20,2020,20200530,20200605,Dunfermline,0,,100
2019/20,2020,20200530,20200605,Levenmouth,0,,100
2019/20,2020,20200530,20200605,Falkirk,0,,100
2019/20,2020,20200530,20200605,Stirling,NA,:,0
2019/20,2020,20200530,20200605,Nigg,0,,100
2019/20,2020,20200530,20200605,Dalmuir,NA,:,0
2019/20,2020,20200530,20200605,Shieldhall,0.32,,100
2019/20,2020,20200530,20200605,Allanfearn,0,,100
2019/20,2020,20200530,20200605,Fort William,NA,:,0
2019/20,2020,20200530,20200605,Helensburgh,NA,:,0
2019/20,2020,20200530,20200605,Nairn,0,,100
2019/20,2020,20200530,20200605,Carbarns,NA,:,0
2019/20,2020,20200530,20200605,Hamilton,NA,:,0
2019/20,2020,20200530,20200605,Philipshill,0.18,,100
2019/20,2020,20200530,20200605,Seafield,NA,:,0
2019/20,2020,20200530,20200605,Kirkwall,NA,:,0
2019/20,2020,20200530,20200605,Lerwick,NA,:,0
2019/20,2020,20200530,20200605,Hatton,0.6,,100
2019/20,2020,20200530,20200605,Stornoway,NA,:,0
2019/20,2020,20200530,20200605,Cumnock,NA,:,0
2019/20,2020,20200530,20200605,Fairlie,NA,:,0
2019/20,2020,20200530,20200605,Girvan,NA,:,0
2019/20,2020,20200530,20200605,Largs,NA,:,0
2019/20,2020,20200530,20200605,Maybole,NA,:,0
2019/20,2020,20200530,20200605,Muirkirk,NA,:,0
2019/20,2020,20200530,20200605,New Cumnock,NA,:,0
2019/20,2020,20200530,20200605,Stevenston,NA,:,0
2019/20,2020,20200530,20200605,Coldstream,NA,:,0
2019/20,2020,20200530,20200605,Duns,NA,:,0
2019/20,2020,20200530,20200605,Eyemouth,NA,:,0
2019/20,2020,20200530,20200605,Jedburgh,NA,:,0
2019/20,2020,20200530,20200605,Kelso,NA,:,0
2019/20,2020,20200530,20200605,Newtown St Boswell,NA,:,0
2019/20,2020,20200530,20200605,Selkirk,NA,:,0
2019/20,2020,20200530,20200605,Langholm,NA,:,0
2019/20,2020,20200530,20200605,Loch Ryan,NA,:,0
2019/20,2020,20200530,20200605,Sanquhar,NA,:,0
2019/20,2020,20200530,20200605,Bowhouse,NA,:,0
2019/20,2020,20200530,20200605,Cupar,NA,:,0
2019/20,2020,20200530,20200605,Guardbridge,NA,:,0
2019/20,2020,20200530,20200605,Ironmill Bay,NA,:,0
2019/20,2020,20200530,20200605,Kincardine,NA,:,0
2019/20,2020,20200530,20200605,Kirkcaldy,NA,:,0
