Season,ISOyear,SevenDayEnding,Country,WastewaterRNA
2019/20,2020,20200528,S92000003,0.180372
2019/20,2020,20200529,S92000003,0.236477
2019/20,2020,20200601,S92000003,0.227071
2019/20,2020,20200602,S92000003,0.228362
2019/20,2020,20200603,S92000003,0.211854
2019/20,2020,20200604,S92000003,0.202167
2019/20,2020,20200606,S92000003,0.203107
2019/20,2020,20200608,S92000003,0.1682
2019/20,2020,20200609,S92000003,0.064413
2019/20,2020,20200610,S92000003,0.173072
2019/20,2020,20200615,S92000003,0.229735
2019/20,2020,20200616,S92000003,0.689019
2019/20,2020,20200617,S92000003,0.102857
2019/20,2020,20200619,S92000003,0.102857
2019/20,2020,20200622,S92000003,0.205194
2019/20,2020,20200623,S92000003,0.102597
2019/20,2020,20200624,S92000003,0.069286
2019/20,2020,20200628,S92000003,0.114891
2019/20,2020,20200630,S92000003,0.01791
2019/20,2020,20200701,S92000003,0.01791
2019/20,2020,20200703,S92000003,0.01791
2019/20,2020,20200706,S92000003,0
2019/20,2020,20200707,S92000003,0
2019/20,2020,20200708,S92000003,0
2019/20,2020,20200710,S92000003,0
2019/20,2020,20200807,S92000003,0.17218
2019/20,2020,20200808,S92000003,0.139864
2019/20,2020,20200809,S92000003,0.125523
2019/20,2020,20200810,S92000003,2.661139
2019/20,2020,20200811,S92000003,2.204755
2019/20,2020,20200812,S92000003,2.965417
2019/20,2020,20200813,S92000003,2.807881
2019/20,2020,20200814,S92000003,2.88106
2019/20,2020,20200817,S92000003,1.271392
2019/20,2020,20200818,S92000003,1.072821
2019/20,2020,20200819,S92000003,1.077167
2019/20,2020,20200820,S92000003,1.181537
2019/20,2020,20200821,S92000003,1.088986
2019/20,2020,20200822,S92000003,1.056531
2019/20,2020,20200824,S92000003,1.008604
2019/20,2020,20200825,S92000003,1.981252
2019/20,2020,20200826,S92000003,2.402003
2019/20,2020,20200828,S92000003,2.406661
2019/20,2020,20200831,S92000003,2.650262
2019/20,2020,20200901,S92000003,2.393859
2019/20,2020,20200902,S92000003,2.158485
2019/20,2020,20200903,S92000003,2.162298
2019/20,2020,20200904,S92000003,2.449476
2019/20,2020,20200906,S92000003,2.450483
2019/20,2020,20200907,S92000003,3.132421
2019/20,2020,20200908,S92000003,3.814697
2019/20,2020,20200909,S92000003,4.2289
2019/20,2020,20200910,S92000003,4.187965
2019/20,2020,20200911,S92000003,4.20215
2019/20,2020,20200914,S92000003,4.12424
2019/20,2020,20200915,S92000003,2.749697
2019/20,2020,20200916,S92000003,2.342255
2019/20,2020,20200917,S92000003,2.348905
2019/20,2020,20200918,S92000003,2.321873
2019/20,2020,20200920,S92000003,2.42042
2019/20,2020,20200921,S92000003,4.673122
2019/20,2020,20200922,S92000003,6.003247
2019/20,2020,20200923,S92000003,7.401666
2019/20,2020,20200924,S92000003,7.550062
2019/20,2020,20200925,S92000003,7.649881
2020/21,2020,20200928,S92000003,8.190847
2020/21,2020,20200929,S92000003,11.443974
2020/21,2020,20200930,S92000003,12.205908
2020/21,2020,20201001,S92000003,13.107624
2020/21,2020,20201002,S92000003,14.190753
2020/21,2020,20201005,S92000003,15.313477
2020/21,2020,20201006,S92000003,23.409211
2020/21,2020,20201007,S92000003,23.954205
2020/21,2020,20201009,S92000003,23.923837
2020/21,2020,20201012,S92000003,24.927315
2020/21,2020,20201013,S92000003,18.215602
2020/21,2020,20201014,S92000003,18.962626
2020/21,2020,20201015,S92000003,19.229876
2020/21,2020,20201016,S92000003,20.820081
2020/21,2020,20201019,S92000003,20.099765
2020/21,2020,20201020,S92000003,27.074884
2020/21,2020,20201021,S92000003,26.744251
2020/21,2020,20201022,S92000003,26.610666
2020/21,2020,20201023,S92000003,26.002445
2020/21,2020,20201026,S92000003,27.618089
2020/21,2020,20201027,S92000003,22.031101
2020/21,2020,20201028,S92000003,19.819425
2020/21,2020,20201029,S92000003,20.276023
2020/21,2020,20201030,S92000003,21.237945
2020/21,2020,20201031,S92000003,21.738219
2020/21,2020,20201102,S92000003,20.589549
2020/21,2020,20201103,S92000003,24.133809
2020/21,2020,20201104,S92000003,25.255705
2020/21,2020,20201106,S92000003,22.965222
2020/21,2020,20201109,S92000003,19.757612
2020/21,2020,20201110,S92000003,20.393068
2020/21,2020,20201111,S92000003,18.700905
2020/21,2020,20201112,S92000003,19.907336
2020/21,2020,20201113,S92000003,22.564048
2020/21,2020,20201116,S92000003,18.556834
2020/21,2020,20201117,S92000003,21.317144
2020/21,2020,20201118,S92000003,20.341875
2020/21,2020,20201119,S92000003,16.772183
2020/21,2020,20201120,S92000003,16.622843
2020/21,2020,20201123,S92000003,20.104578
2020/21,2020,20201124,S92000003,18.445176
2020/21,2020,20201125,S92000003,20.264137
2020/21,2020,20201126,S92000003,21.189147
2020/21,2020,20201127,S92000003,21.164115
2020/21,2020,20201130,S92000003,26.727033
2020/21,2020,20201201,S92000003,28.728809
2020/21,2020,20201202,S92000003,29.868953
2020/21,2020,20201203,S92000003,30.570277
2020/21,2020,20201204,S92000003,29.632065
2020/21,2020,20201206,S92000003,27.624573
2020/21,2020,20201207,S92000003,24.274563
2020/21,2020,20201208,S92000003,22.521755
2020/21,2020,20201209,S92000003,21.958167
2020/21,2020,20201210,S92000003,18.957365
2020/21,2020,20201211,S92000003,18.173307
2020/21,2020,20201214,S92000003,19.856049
