date,netherlands_rna,scotland_rna,swiss_sars_cov_2,swiss_influenza_a,swiss_influenza_b,swiss_rsv,uk_ari_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_averageRolling7Day,uk_ari_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_baselineCountsByDay,uk_ari_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_countsByDay,uk_ari_syndromic_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_averageRolling7Day,uk_ari_syndromic_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_baselineCountsByDay,uk_ari_syndromic_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_countsByDay,uk_influenza_like_ed__influenza-like_syndromic_emergencyDepartment_averageRolling7Day,uk_influenza_like_ed__influenza-like_syndromic_emergencyDepartment_baselineCountsByDay,uk_influenza_like_ed__influenza-like_syndromic_emergencyDepartment_countsByDay,uk_lrti_gp_hours__lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,uk_lrti_gp_hours__lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,uk_lrti_gp_hours__lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,uk_urti_gp_hours__upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,uk_urti_gp_hours__upper-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,uk_urti_gp_hours__upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,Temp,WeekOfYear,SinWeek,CosWeek
2020-05-28,,0.180372,,,,,,,,,,,,,,,,,,,,16.0,22,0.464723172043769,-0.8854560256532096
2020-05-29,,0.236477,,,,,,,,,,,,,,,,,,,,15.8,22,0.464723172043769,-0.8854560256532096
2020-06-01,,0.227071,,,,,,,,,,,,,,,,,,,,16.3,23,0.3546048870425358,-0.9350162426854148
2020-06-02,,0.228362,,,,,,,,,,,,,,,,,,,,16.2,23,0.3546048870425358,-0.9350162426854148
2020-06-03,,0.211854,,,,,,,,,,,,,,,,,,,,13.2,23,0.3546048870425358,-0.9350162426854148
2020-06-04,,0.202167,,,,,,,,,,,,,,,,,,,,11.1,23,0.3546048870425358,-0.9350162426854148
2020-06-06,,0.203107,,,,,,,,,,,,,,,,,,,,10.6,23,0.3546048870425358,-0.9350162426854148
2020-06-08,,0.1682,,,,,,,,,,,,,,,,,,,,11.9,24,0.2393156642875576,-0.970941817426052
2020-06-09,,0.064413,,,,,,,,,,,,,,,,,,,,12.1,24,0.2393156642875576,-0.970941817426052
2020-06-10,,0.173072,,,,,,,,,,,,,,,,,,,,12.5,24,0.2393156642875576,-0.970941817426052
2020-06-15,,0.229735,,,,,,,,,,,,,,,,,,,,17.3,25,0.120536680255323,-0.992708874098054
2020-06-16,,0.689019,,,,,,,,,,,,,,,,,,,,17.3,25,0.120536680255323,-0.992708874098054
2020-06-17,,0.102857,,,,,,,,,,,,,,,,,,,,16.4,25,0.120536680255323,-0.992708874098054
