Date,Temp,WeekOfYear,SinWeek,CosWeek
2020-05-28,16.0,22,0.46472317204376906,-0.8854560256532096
2020-05-29,15.8,22,0.46472317204376906,-0.8854560256532096
2020-05-30,15.7,22,0.46472317204376906,-0.8854560256532096
2020-05-31,16.5,22,0.46472317204376906,-0.8854560256532096
2020-06-01,16.3,23,0.35460488704253584,-0.9350162426854147
2020-06-02,16.2,23,0.35460488704253584,-0.9350162426854147
2020-06-03,13.2,23,0.35460488704253584,-0.9350162426854147
2020-06-04,11.1,23,0.35460488704253584,-0.9350162426854147
2020-06-05,11.6,23,0.35460488704253584,-0.9350162426854147
2020-06-06,10.6,23,0.35460488704253584,-0.9350162426854147
2020-06-07,12.2,23,0.35460488704253584,-0.9350162426854147
2020-06-08,11.9,24,0.23931566428755768,-0.970941817426052
2020-06-09,12.1,24,0.23931566428755768,-0.970941817426052
2020-06-10,12.5,24,0.23931566428755768,-0.970941817426052
2020-06-11,14.1,24,0.23931566428755768,-0.970941817426052
2020-06-12,15.2,24,0.23931566428755768,-0.970941817426052
2020-06-13,17.5,24,0.23931566428755768,-0.970941817426052
2020-06-14,16.4,24,0.23931566428755768,-0.970941817426052
2020-06-15,17.3,25,0.12053668025532308,-0.992708874098054
2020-06-16,17.3,25,0.12053668025532308,-0.992708874098054
2020-06-17,16.4,25,0.12053668025532308,-0.992708874098054
2020-06-18,14.3,25,0.12053668025532308,-0.992708874098054
2020-06-19,14.8,25,0.12053668025532308,-0.992708874098054
2020-06-20,15.9,25,0.12053668025532308,-0.992708874098054
2020-06-21,16.1,25,0.12053668025532308,-0.992708874098054
2020-06-22,14.8,26,-3.216245299353273e-16,-1.0
2020-06-23,18.7,26,-3.216245299353273e-16,-1.0
2020-06-24,21.6,26,-3.216245299353273e-16,-1.0
2020-06-25,22.7,26,-3.216245299353273e-16,-1.0
2020-06-26,21.8,26,-3.216245299353273e-16,-1.0
2020-06-27,16.3,26,-3.216245299353273e-16,-1.0
2020-06-28,13.7,26,-3.216245299353273e-16,-1.0
2020-06-29,13.5,27,-0.12053668025532283,-0.992708874098054
2020-06-30,14.7,27,-0.12053668025532283,-0.992708874098054
2020-07-01,16.8,27,-0.12053668025532283,-0.992708874098054
2020-07-02,14.7,27,-0.12053668025532283,-0.992708874098054
2020-07-03,14.0,27,-0.12053668025532283,-0.992708874098054
2020-07-04,15.8,27,-0.12053668025532283,-0.992708874098054
2020-07-05,16.3,27,-0.12053668025532283,-0.992708874098054
2020-07-06,14.7,28,-0.23931566428755743,-0.9709418174260521
2020-07-07,12.8,28,-0.23931566428755743,-0.9709418174260521
2020-07-08,15.1,28,-0.23931566428755743,-0.9709418174260521
2020-07-09,15.3,28,-0.23931566428755743,-0.9709418174260521
2020-07-10,13.7,28,-0.23931566428755743,-0.9709418174260521
2020-07-11,13.5,28,-0.23931566428755743,-0.9709418174260521
2020-07-12,14.2,28,-0.23931566428755743,-0.9709418174260521
2020-07-13,15.7,29,-0.3546048870425356,-0.9350162426854148
2020-07-14,15.2,29,-0.3546048870425356,-0.9350162426854148
2020-07-15,14.3,29,-0.3546048870425356,-0.9350162426854148
2020-07-16,17.5,29,-0.3546048870425356,-0.9350162426854148
2020-07-17,18.9,29,-0.3546048870425356,-0.9350162426854148
2020-07-18,16.8,29,-0.3546048870425356,-0.9350162426854148
2020-07-19,15.0,29,-0.3546048870425356,-0.9350162426854148
2020-07-20,13.1,30,-0.46472317204376806,-0.8854560256532101
2020-07-21,13.6,30,-0.46472317204376806,-0.8854560256532101
2020-07-22,16.3,30,-0.46472317204376806,-0.8854560256532101
2020-07-23,16.4,30,-0.46472317204376806,-0.8854560256532101
2020-07-24,17.9,30,-0.46472317204376806,-0.8854560256532101
2020-07-25,18.4,30,-0.46472317204376806,-0.8854560256532101
2020-07-26,16.1,30,-0.46472317204376806,-0.8854560256532101
2020-07-27,17.1,31,-0.5680647467311556,-0.8229838658936565
2020-07-28,14.7,31,-0.5680647467311556,-0.8229838658936565
2020-07-29,14.8,31,-0.5680647467311556,-0.8229838658936565
2020-07-30,19.2,31,-0.5680647467311556,-0.8229838658936565
2020-07-31,23.9,31,-0.5680647467311556,-0.8229838658936565
2020-08-01,18.1,31,-0.5680647467311556,-0.8229838658936565
2020-08-02,16.0,31,-0.5680647467311556,-0.8229838658936565
2020-08-03,14.9,32,-0.663122658240795,-0.7485107481711013
2020-08-04,13.9,32,-0.663122658240795,-0.7485107481711013
2020-08-05,18.3,32,-0.663122658240795,-0.7485107481711013
2020-08-06,20.5,32,-0.663122658240795,-0.7485107481711013
2020-08-07,21.8,32,-0.663122658240795,-0.7485107481711013
2020-08-08,21.7,32,-0.663122658240795,-0.7485107481711013
2020-08-09,20.8,32,-0.663122658240795,-0.7485107481711013
2020-08-10,22.3,33,-0.7485107481711011,-0.6631226582407952
2020-08-11,24.2,33,-0.7485107481711011,-0.6631226582407952
2020-08-12,25.2,33,-0.7485107481711011,-0.6631226582407952
2020-08-13,19.9,33,-0.7485107481711011,-0.6631226582407952
2020-08-14,18.5,33,-0.7485107481711011,-0.6631226582407952
2020-08-15,17.2,33,-0.7485107481711011,-0.6631226582407952
2020-08-16,18.2,33,-0.7485107481711011,-0.6631226582407952
2020-08-17,18.4,34,-0.8229838658936564,-0.5680647467311559
2020-08-18,18.5,34,-0.8229838658936564,-0.5680647467311559
2020-08-19,17.3,34,-0.8229838658936564,-0.5680647467311559
2020-08-20,18.2,34,-0.8229838658936564,-0.5680647467311559
2020-08-21,18.0,34,-0.8229838658936564,-0.5680647467311559
2020-08-22,16.8,34,-0.8229838658936564,-0.5680647467311559
2020-08-23,16.3,34,-0.8229838658936564,-0.5680647467311559
2020-08-24,15.6,35,-0.8854560256532096,-0.4647231720437691
2020-08-25,17.2,35,-0.8854560256532096,-0.4647231720437691
2020-08-26,17.1,35,-0.8854560256532096,-0.4647231720437691
2020-08-27,13.5,35,-0.8854560256532096,-0.4647231720437691
2020-08-28,14.0,35,-0.8854560256532096,-0.4647231720437691
2020-08-29,12.3,35,-0.8854560256532096,-0.4647231720437691
2020-08-30,11.8,35,-0.8854560256532096,-0.4647231720437691
2020-08-31,12.2,36,-0.9350162426854147,-0.3546048870425359
2020-09-01,12.9,36,-0.9350162426854147,-0.3546048870425359
2020-09-02,13.1,36,-0.9350162426854147,-0.3546048870425359
2020-09-03,16.7,36,-0.9350162426854147,-0.3546048870425359
2020-09-04,14.1,36,-0.9350162426854147,-0.3546048870425359
2020-09-05,13.4,36,-0.9350162426854147,-0.3546048870425359
2020-09-06,13.5,36,-0.9350162426854147,-0.3546048870425359
2020-09-07,13.6,37,-0.970941817426052,-0.23931566428755774
2020-09-08,18.5,37,-0.970941817426052,-0.23931566428755774
2020-09-09,16.1,37,-0.970941817426052,-0.23931566428755774
2020-09-10,11.4,37,-0.970941817426052,-0.23931566428755774
2020-09-11,12.8,37,-0.970941817426052,-0.23931566428755774
2020-09-12,15.2,37,-0.970941817426052,-0.23931566428755774
2020-09-13,17.5,37,-0.970941817426052,-0.23931566428755774
2020-09-14,17.1,38,-0.992708874098054,-0.12053668025532357
2020-09-15,20.1,38,-0.992708874098054,-0.12053668025532357
2020-09-16,17.8,38,-0.992708874098054,-0.12053668025532357
2020-09-17,15.1,38,-0.992708874098054,-0.12053668025532357
2020-09-18,13.6,38,-0.992708874098054,-0.12053668025532357
