"Time","cough"
"2021-07-01",41
"2021-08-01",38
"2021-09-01",59
"2021-10-01",67
"2021-11-01",63
"2021-12-01",61
"2022-01-01",39
"2022-02-01",35
"2022-03-01",42
"2022-04-01",40
"2022-05-01",35
"2022-06-01",42
"2022-07-01",37
"2022-08-01",27
"2022-09-01",33
"2022-10-01",51
"2022-11-01",52
"2022-12-01",100
"2023-01-01",52
"2023-02-01",46
"2023-03-01",44
"2023-04-01",35
"2023-05-01",33
"2023-06-01",30
"2023-07-01",27
"2023-08-01",27
"2023-09-01",29
"2023-10-01",42
"2023-11-01",49
"2023-12-01",75
"2024-01-01",66
"2024-02-01",57
"2024-03-01",58
"2024-04-01",58
"2024-05-01",57
"2024-06-01",44
"2024-07-01",37
"2024-08-01",28
"2024-09-01",31
"2024-10-01",44
"2024-11-01",45
"2024-12-01",63
"2025-01-01",49
"2025-02-01",45
"2025-03-01",38
"2025-04-01",34
"2025-05-01",27
"2025-06-01",24
"2025-07-01",21
"2025-08-01",22
"2025-09-01",29
"2025-10-01",42
"2025-11-01",44
"2025-12-01",62
"2026-01-01",45
"2026-02-01",39
"2026-03-01",40
"2026-04-01",34
"2026-05-01",33
"2026-06-01",26
