"Time","sore throat"
"2021-07-01",57
"2021-08-01",56
"2021-09-01",86
"2021-10-01",77
"2021-11-01",67
"2021-12-01",90
"2022-01-01",58
"2022-02-01",53
"2022-03-01",62
"2022-04-01",49
"2022-05-01",49
"2022-06-01",57
"2022-07-01",59
"2022-08-01",37
"2022-09-01",49
"2022-10-01",56
"2022-11-01",53
"2022-12-01",100
"2023-01-01",62
"2023-02-01",59
"2023-03-01",56
"2023-04-01",50
"2023-05-01",49
"2023-06-01",39
"2023-07-01",38
"2023-08-01",34
"2023-09-01",39
"2023-10-01",45
"2023-11-01",48
"2023-12-01",59
"2024-01-01",50
"2024-02-01",51
"2024-03-01",55
"2024-04-01",46
"2024-05-01",45
"2024-06-01",44
"2024-07-01",39
"2024-08-01",30
"2024-09-01",39
"2024-10-01",46
"2024-11-01",44
"2024-12-01",60
"2025-01-01",49
"2025-02-01",51
"2025-03-01",50
"2025-04-01",44
"2025-05-01",40
"2025-06-01",37
"2025-07-01",35
"2025-08-01",32
"2025-09-01",43
"2025-10-01",45
"2025-11-01",45
"2025-12-01",62
"2026-01-01",48
"2026-02-01",50
"2026-03-01",54
"2026-04-01",48
"2026-05-01",45
"2026-06-01",37
