"Time","wheezing"
"2021-07-01",48
"2021-08-01",50
"2021-09-01",59
"2021-10-01",67
"2021-11-01",69
"2021-12-01",67
"2022-01-01",59
"2022-02-01",52
"2022-03-01",50
"2022-04-01",50
"2022-05-01",49
"2022-06-01",55
"2022-07-01",46
"2022-08-01",40
"2022-09-01",52
"2022-10-01",59
"2022-11-01",65
"2022-12-01",100
"2023-01-01",68
"2023-02-01",63
"2023-03-01",58
"2023-04-01",60
"2023-05-01",54
"2023-06-01",65
"2023-07-01",45
"2023-08-01",45
"2023-09-01",48
"2023-10-01",63
"2023-11-01",71
"2023-12-01",76
"2024-01-01",71
"2024-02-01",62
"2024-03-01",61
"2024-04-01",58
"2024-05-01",49
"2024-06-01",49
"2024-07-01",45
"2024-08-01",38
"2024-09-01",50
"2024-10-01",61
"2024-11-01",69
"2024-12-01",78
"2025-01-01",64
"2025-02-01",57
"2025-03-01",53
"2025-04-01",55
"2025-05-01",44
"2025-06-01",37
"2025-07-01",31
"2025-08-01",35
"2025-09-01",41
"2025-10-01",47
"2025-11-01",51
"2025-12-01",66
"2026-01-01",57
"2026-02-01",48
"2026-03-01",54
"2026-04-01",52
"2026-05-01",43
"2026-06-01",38
