"Time","congestion"
"2021-07-01",79
"2021-08-01",87
"2021-09-01",77
"2021-10-01",89
"2021-11-01",85
"2021-12-01",96
"2022-01-01",87
"2022-02-01",94
"2022-03-01",82
"2022-04-01",80
"2022-05-01",80
"2022-06-01",87
"2022-07-01",81
"2022-08-01",86
"2022-09-01",77
"2022-10-01",79
"2022-11-01",77
"2022-12-01",100
"2023-01-01",78
"2023-02-01",76
"2023-03-01",71
"2023-04-01",75
"2023-05-01",71
"2023-06-01",69
"2023-07-01",72
"2023-08-01",77
"2023-09-01",72
"2023-10-01",65
"2023-11-01",64
"2023-12-01",82
"2024-01-01",62
"2024-02-01",60
"2024-03-01",64
"2024-04-01",60
"2024-05-01",64
"2024-06-01",61
"2024-07-01",63
"2024-08-01",61
"2024-09-01",62
"2024-10-01",61
"2024-11-01",60
"2024-12-01",75
"2025-01-01",57
"2025-02-01",59
"2025-03-01",59
"2025-04-01",63
"2025-05-01",65
"2025-06-01",58
"2025-07-01",61
"2025-08-01",66
"2025-09-01",69
"2025-10-01",77
"2025-11-01",81
"2025-12-01",92
"2026-01-01",81
"2026-02-01",69
"2026-03-01",75
"2026-04-01",78
"2026-05-01",71
"2026-06-01",72
