"Time","chills"
"2021-07-01",55
"2021-08-01",68
"2021-09-01",58
"2021-10-01",68
"2021-11-01",68
"2021-12-01",93
"2022-01-01",74
"2022-02-01",70
"2022-03-01",78
"2022-04-01",75
"2022-05-01",57
"2022-06-01",60
"2022-07-01",57
"2022-08-01",45
"2022-09-01",56
"2022-10-01",56
"2022-11-01",61
"2022-12-01",100
"2023-01-01",66
"2023-02-01",72
"2023-03-01",64
"2023-04-01",61
"2023-05-01",53
"2023-06-01",47
"2023-07-01",45
"2023-08-01",50
"2023-09-01",49
"2023-10-01",51
"2023-11-01",55
"2023-12-01",71
"2024-01-01",77
"2024-02-01",66
"2024-03-01",69
"2024-04-01",69
"2024-05-01",53
"2024-06-01",59
"2024-07-01",54
"2024-08-01",47
"2024-09-01",51
"2024-10-01",52
"2024-11-01",59
"2024-12-01",83
"2025-01-01",67
"2025-02-01",76
"2025-03-01",71
"2025-04-01",59
"2025-05-01",50
"2025-06-01",41
"2025-07-01",38
"2025-08-01",46
"2025-09-01",44
"2025-10-01",50
"2025-11-01",50
"2025-12-01",65
"2026-01-01",57
"2026-02-01",55
"2026-03-01",70
"2026-04-01",62
"2026-05-01",51
"2026-06-01",43
