theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-22,7.0000,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-21,7.0200,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-20,7.0400,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-19,7.0600,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-19,5.7800,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-18,7.0900,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-18,6.1000,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-17,7.0900,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-17,6.3000,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-16,6.8800,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-16,7.0900,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-16,7.1000,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-15,6.9800,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-15,7.1100,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-15,8.9100,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-14,6.9800,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-14,7.1500,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-14,0.2200,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-13,6.9200,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-13,7.1800,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-13,0.3400,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-12,6.9000,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-12,7.2300,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-12,6.5000,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-11,7.0300,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-11,7.3000,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-11,6.0800,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-10,7.0300,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-10,7.3000,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-10,5.9800,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-09,7.0300,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-09,7.3000,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-09,7.0100,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-08,7.0700,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-08,7.3600,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-08,9.5900,False
