feature,importance
WeekOfYear_lag14,0.40676194
WeekOfYear_lag7,0.24466205
CosWeek_lag1,0.06605847
CosWeek,0.0484598
uk_influenza_like_ed__influenza-like_syndromic_emergencyDepartment_averageRolling7Day,0.038520526
uk_influenza_like_ed__influenza-like_syndromic_emergencyDepartment_baselineCountsByDay,0.03688917
WeekOfYear_lag1,0.024851711
WeekOfYear_roll7,0.021425009
WeekOfYear_roll14,0.018137585
uk_lrti_gp_hours__lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,0.012431256
WeekOfYear,0.009747113
Temp_roll14,0.009010892
WeekOfYear_t,0.008395908
uk_ari_syndromic_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_averageRolling7Day,0.006924011
uk_ari_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_averageRolling7Day,0.0050576385
WeekOfYear_lag3,0.0041430714
SinWeek_lag1,0.0028769078
CosWeek_roll14,0.0026207266
CosWeek_roll7,0.002420032
Temp_roll7,0.0019671302
uk_ari_syndromic_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_countsByDay_roll7,0.0018732651
uk_ari_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_countsByDay_roll7,0.0018247265
SinWeek,0.0012230315
uk_urti_gp_hours__upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay_roll7,0.0010385254
Temp_t,0.0009318713
uk_ari_syndromic_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_countsByDay_roll14,0.0009137007
SinWeek_roll7,0.00087783276
uk_lrti_gp_hours__lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay_roll14,0.000874501
netherlands_rna_lag14,0.00083323615
netherlands_rna_lag1,0.0008228888
netherlands_rna,0.0007623963
uk_ari_syndromic_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_countsByDay_lag1,0.000639272
netherlands_rna_lag7,0.0005704534
Temp,0.0005697832
uk_ari_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_baselineCountsByDay,0.00054153695
netherlands_rna_roll14,0.00053784926
CosWeek_lag7,0.0005352694
uk_urti_gp_hours__upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,0.0005267108
uk_ari_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_countsByDay_roll14,0.00046771351
uk_ari_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_countsByDay_t,0.00043765045
uk_lrti_gp_hours__lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay_roll7,0.00043233577
netherlands_rna_t,0.00042028876
scotland_rna_lag3,0.00040373692
SinWeek_t,0.00039195063
uk_urti_gp_hours__upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay_roll14,0.00035937782
uk_ari_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_countsByDay_lag1,0.0003554774
swiss_rsv_roll7,0.00033677425
SinWeek_lag7,0.00031597426
netherlands_rna_lag3,0.00031301356
SinWeek_lag3,0.0003103704
swiss_influenza_a_roll7,0.00030911446
swiss_influenza_b_roll7,0.00030902037
uk_ari_syndromic_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_countsByDay_lag7,0.00029703605
uk_lrti_gp_hours__lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,0.00028517257
uk_ari_syndromic_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_baselineCountsByDay,0.00024247899
netherlands_rna_roll7,0.00022695902
uk_ari_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_countsByDay_lag7,0.00020215628
swiss_sars_cov_2_lag3,0.00019800293
swiss_sars_cov_2_roll7,0.00019768384
uk_urti_gp_hours__upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,0.00019686793
uk_lrti_gp_hours__lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay_lag1,0.00019098763
uk_ari_syndromic_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_countsByDay_lag3,0.00018978813
Temp_lag3,0.00018430514
CosWeek_lag14,0.00018351022
SinWeek_roll14,0.0001831715
